DATE,ICSA,Year,Quarter
2001-01-01,367769.230769231000,2001,1
2001-04-01,396230.769230769000,2001,2
2001-07-01,412230.769230769000,2001,3
2001-10-01,445923.076923077000,2001,4
2002-01-01,408230.769230769000,2002,1
2002-04-01,406846.153846154000,2002,2
2002-07-01,396153.846153846000,2002,3
2002-10-01,403692.307692308000,2002,4
2003-01-01,412384.615384615000,2003,1
2003-04-01,427076.923076923000,2003,2
2003-07-01,402230.769230769000,2003,3
2003-10-01,367384.615384615000,2003,4
2004-01-01,354769.230769231000,2004,1
2004-04-01,343846.153846154000,2004,2
2004-07-01,340538.461538462000,2004,3
2004-10-01,329692.307692308000,2004,4
2005-01-01,330153.846153846000,2005,1
2005-04-01,325153.846153846000,2005,2
2005-07-01,339692.307692308000,2005,3
2005-10-01,329428.571428571000,2005,4
2006-01-01,296083.333333333000,2006,1
2006-04-01,313153.846153846000,2006,2
2006-07-01,316571.428571429000,2006,3
2006-10-01,322076.923076923000,2006,4
2007-01-01,315923.076923077000,2007,1
2007-04-01,313384.615384615000,2007,2
2007-07-01,315384.615384615000,2007,3
2007-10-01,338307.692307692000,2007,4
2008-01-01,350692.307692308000,2008,1
2008-04-01,369615.384615385000,2008,2
2008-07-01,431769.230769231000,2008,3
2008-10-01,519692.307692308000,2008,4
2009-01-01,621000.000000000000,2009,1
2009-04-01,612615.384615385000,2009,2
2009-07-01,557846.153846154000,2009,3
2009-10-01,503461.538461538000,2009,4
2010-01-01,478692.307692308000,2010,1
2010-04-01,462692.307692308000,2010,2
2010-07-01,462307.692307692000,2010,3
2010-10-01,432307.692307692000,2010,4
2011-01-01,412615.384615385000,2011,1
2011-04-01,420461.538461538000,2011,2
2011-07-01,413230.769230769000,2011,3
2011-10-01,389571.428571429000,2011,4
2012-01-01,369000.000000000000,2012,1
2012-04-01,378230.769230769000,2012,2
2012-07-01,376307.692307692000,2012,3
2012-10-01,374923.076923077000,2012,4
2013-01-01,352538.461538462000,2013,1
2013-04-01,346384.615384615000,2013,2
2013-07-01,331307.692307692000,2013,3
2013-10-01,343000.000000000000,2013,4
2014-01-01,327153.846153846000,2014,1
2014-04-01,316461.538461538000,2014,2
2014-07-01,299769.230769231000,2014,3
2014-10-01,288538.461538462000,2014,4
2015-01-01,290692.307692308000,2015,1
2015-04-01,277615.384615385000,2015,2
2015-07-01,274230.769230769000,2015,3
2015-10-01,268692.307692308000,2015,4
2016-01-01,270615.384615385000,2016,1
2016-04-01,268384.615384615000,2016,2
2016-07-01,258230.769230769000,2016,3
2016-10-01,251642.857142857000,2016,4
2017-01-01,245500.000000000000,2017,1
2017-04-01,240769.230769231000,2017,2
2017-07-01,251714.285714286000,2017,3
2017-10-01,236769.230769231000,2017,4
2018-01-01,227000.000000000000,2018,1
2018-04-01,221769.230769231000,2018,2
2018-07-01,215076.923076923000,2018,3
2018-10-01,217692.307692308000,2018,4
2019-01-01,221153.846153846000,2019,1
2019-04-01,218307.692307692000,2019,2
2019-07-01,213692.307692308000,2019,3
2019-10-01,218923.076923077000,2019,4
2020-01-01,867846.153846154000,2020,1
2020-04-01,2716615.384615380000,2020,2
2020-07-01,1041076.923076920000,2020,3
2020-10-01,783000.000000000000,2020,4
2021-01-01,796000.000000000000,2021,1
2021-04-01,,2021,2
