Year,Quarter,Date,GDP,real_GDP,Gross Domestic Product: Implicit Price Deflator,Gross National Product,"Government Consumption Expenditures and Gross Investment, Billions of Dollars, Quarterly, Seasonally Adjusted Annual Rate",Government total expenditures,Real Personal Consumption Expenditures,"Shares of gross domestic product: Personal consumption expenditures, Percent, Quarterly, Not Seasonally Adjusted",Shares of gross domestic product Gross private domestic investment,Shares of gross domestic product Government consumption expenditures and gross investment,"Shares of gross domestic product: Net exports of goods and services, Percent, Quarterly, Not Seasonally Adjusted",Annualized EBITDA Per Share Growth minus 10-Year
2001,Q3,2001Q3,10596.294,13244.784,1.6,10619.9,1952.705,3376.049,,66.7,18.4,18.4,-3.5,-0.0013
2001,Q4,2001Q4,10660.294,13280.859,1.3,10747.342,1991.988,3433.592,,67.3,17.4,18.7,-3.3,-0.0361
2002,Q1,2002Q1,10788.952,13397.002,1.3,10837.73,2038.946,3506.769,9008.1,66.8,17.7,18.9,-3.5,-0.2415
2002,Q2,2002Q2,10893.207,13478.152,1.4,10923.146,2073.495,3554.068,9054.3,67,17.7,19,-3.8,0.3111
2002,Q3,2002Q3,10992.051,13538.072,1.9,11035.492,2100.432,3596.636,9120,67.2,17.6,19.1,-3.9,-0.1572
2002,Q4,2002Q4,11071.463,13559.032,2.3,11130.278,2141.997,3683.355,9172.4,67.5,17.5,19.3,-4.3,-0.1091
2003,Q1,2003Q1,11183.507,13634.253,1.8,11226.655,2172.36,3747.601,9215.5,67.6,17.5,19.4,-4.5,0.1687
2003,Q2,2003Q2,11312.875,13751.543,1.2,11368.273,2199.425,3806.674,9319,67.6,17.4,19.4,-4.4,0.0372
2003,Q3,2003Q3,11567.326,13985.073,2.2,11621.763,2221.212,3837.276,9455.7,67.5,17.7,19.2,-4.3,0.1378
2003,Q4,2003Q4,11769.275,14145.645,2.4,11849.731,2251.834,3872.828,9519.8,67.1,18.1,19.1,-4.3,0.0974
2004,Q1,2004Q1,11920.169,14221.147,3,12018.97,2287.338,3951.331,9604.5,67.3,18.1,19.2,-4.6,0.1695
2004,Q2,2004Q2,12108.987,14329.523,3.3,12182.398,2321.398,3981.261,9664.3,67.2,18.7,19.2,-5,0.0428
2004,Q3,2004Q3,12303.34,14464.984,2.6,12386.854,2357.154,4049.405,9771.1,67.2,18.8,19.2,-5.2,0.0329
2004,Q4,2004Q4,12522.425,14609.876,3.1,12579.436,2389.668,4095.638,9877.4,67.3,19.1,19.1,-5.5,0.2021
2005,Q1,2005Q1,12761.337,14771.602,3.2,12851.097,2426.905,4195.259,9935,66.8,19.5,19,-5.3,-0.1421
2005,Q2,2005Q2,12910.022,14839.782,2.8,12987.61,2452.909,4239.542,10047.7,67.2,19.2,19,-5.4,0.1841
2005,Q3,2005Q3,13142.873,14972.054,3.7,13230.073,2495.099,4364.516,10145.3,67.3,19.3,19,-5.6,0.0124
2005,Q4,2005Q4,13332.316,15066.597,3.3,13389.59,2529.054,4414.665,10175.4,67.1,19.8,19,-5.9,0.0684
2006,Q1,2006Q1,13603.933,15267.026,2.8,13662.717,2580.699,4453.451,10288.9,66.8,19.9,19,-5.7,0.0606
2006,Q2,2006Q2,13749.806,15302.705,3.4,13802.956,2610.894,4516.498,10341,67,19.7,19,-5.7,0.2926
2006,Q3,2006Q3,13867.469,15326.368,2.8,13907.106,2630.65,4564.038,10403.8,67.3,19.5,19,-5.8,0.0419
2006,Q4,2006Q4,14037.228,15456.928,1.5,14087.456,2674.694,4545.885,10504.5,67,19.1,19.1,-5.1,-0.0471
2007,Q1,2007Q1,14208.569,15493.328,4,14260.827,2719.157,4751.901,10563.3,67.2,18.8,19.1,-5.1,-0.1100
2007,Q2,2007Q2,14382.363,15582.085,2.6,14456.794,2770.314,4801.722,10582.8,67.1,18.8,19.3,-5.1,0.1636
