DATE,fred_shipments_consumer_durable_exclud_defense (sum),fred_shipments_consumer_durable_exclud_transportation (sum),fred_govtax (Q),fedgovtaxcorpincome (Q),cpi (Q),ppi (Q),govconsumexpandgrossinvest (Q),GDP(Q),fred_personalconsumptionexpand (sum),govtotalexpand (Q),Quarterly Census of Employment and Wages (Q),Personal_Cons (Q)
2001-01-01,548557,420345,7529,154.94,na,na,2716.773,10472.879,na,3280.984,946,na
2001-04-01,529863,398625,7596,148.655,na,70.24955146,2764.085,10597.822,na,3358.994,933,na
2001-07-01,511403,382890,7078,130.945,0.131430717,69.43402381,2761.354,10596.294,na,3376.049,922,1.7
2001-10-01,500654,371017,6650,115.785,-0.281267579,67.73772631,2806.951,10660.294,na,3433.592,964,1.7
2002-01-01,502302,370065,7075,115.523,0.357277172,67.46044691,2855.529,10788.952,27024.3,3506.769,986,1.5
2002-04-01,515707,376475,7539,119.873,1.086752857,68.16180069,2877.458,10893.207,27163,3554.068,995,1.6
2002-07-01,514057,373117,7867,126.493,0.426320667,68.37383787,2892.823,10992.051,27359.9,3596.636,1001,1.9
2002-10-01,505530,369287,8383,141.963,0.313768918,68.76529114,2915.13,11071.463,27517.1,3683.355,1021,1.7
2003-01-01,506748,369287,8629,161.534,1.011959522,70.49420975,2918.534,11183.507,27646.6,3747.601,1028,1.7
2003-04-01,502591,366970,7933,160.9,0.364298725,70.54314141,2946.145,11312.875,27957,3806.674,1038,1.4
2003-07-01,512080,366959,8390,180.308,0.490018149,71.34235851,2953.056,11567.326,28367.1,3837.276,1061,1.3
2003-10-01,521987,372233,9045,200.39,0.018060321,71.92953841,2971.022,11769.275,28559.4,3872.828,1046,1.4
2004-01-01,524890,380394,9457,209.161,0.902853016,72.51671832,2984.42,11920.169,28813.5,3951.331,1103,1.7
2004-04-01,532631,382177,10199,225.965,1.431639227,74.19670527,2992.385,12108.987,28992.8,3981.261,1083,2
2004-07-01,538945,394653,10972,244.456,0.352858151,74.34350024,2997.86,12303.34,29313.4,4049.405,1154,2
2004-10-01,553928,404864,11080,249.235,0.597749648,75.82776056,2996.211,12522.425,29632.3,4095.638,1106,2.1
2005-01-01,565890,415905,13825,315.292,0.629150647,76.34969825,3011.182,12761.337,29805.1,4195.259,1138,2.2
2005-04-01,573405,426239,13244,306.06,1.337269885,77.60561083,3009.466,12910.022,30143.2,4239.542,1140,2.1
2005-07-01,575472,427964,13327,311.917,1.216795201,79.35083999,3019.418,13142.873,30435.8,4364.516,1155,2.1
2005-10-01,602243,430971,14547,344.693,0.507958009,80.73723699,3021.766,13332.316,30526.3,4414.665,1172,2.2
2006-01-01,611764,450771,14912,357.206,0.539083558,80.44364704,3060.135,13603.933,30866.7,4453.451,1181,2.1
2006-04-01,612950,463155,15079,367.265,1.692359249,81.83004404,3059.225,13749.806,31023,4516.498,1187,2.3
2006-07-01,607795,464653,15441,384.807,0.56022409,82.04208123,3054.837,13867.469,31211.4,4564.038,1206,2.5
2006-10-01,619818,466898,13810,354.554,-0.85203998,80.54151036,3079.918,14037.228,31513.5,4545.885,1216,2.3
2007-01-01,627973,470540,14799,354.45,1.019170385,81.9115968,3084.455,14208.569,31689.8,4751.901,1188,2.4
2007-04-01,645944,476465,14859,347.737,1.917329089,85.12477573,3112.464,14382.363,31748.5,4801.722,1261,2.1
2007-07-01,645207,488701,14074,314.617,0.275928711,85.46729734,3126.544,14535.003,31927.4,4849.334,1233,2
