DATE,EXUSUK
1971-01-01,2.4058
1971-02-01,2.4178
1971-03-01,2.4187
1971-04-01,2.4179
1971-05-01,2.4187
1971-06-01,2.4188
1971-07-01,2.4185
1971-08-01,2.4346
1971-09-01,2.4694
1971-10-01,2.4896
1971-11-01,2.4933
1971-12-01,2.5266
1972-01-01,2.5705
1972-02-01,2.6037
1972-03-01,2.6181
1972-04-01,2.6102
1972-05-01,2.6124
1972-06-01,2.5691
1972-07-01,2.4447
1972-08-01,2.4502
1972-09-01,2.441
1972-10-01,2.3948
1972-11-01,2.3515
1972-12-01,2.3449
1973-01-01,2.3563
1973-02-01,2.4272
1973-03-01,2.4724
1973-04-01,2.4837
1973-05-01,2.5306
1973-06-01,2.5762
1973-07-01,2.5375
1973-08-01,2.4757
1973-09-01,2.4183
1973-10-01,2.4292
1973-11-01,2.387
1973-12-01,2.3174
1974-01-01,2.224
1974-02-01,2.2749
1974-03-01,2.3406
1974-04-01,2.3886
1974-05-01,2.4137
1974-06-01,2.3902
1974-07-01,2.3896
1974-08-01,2.3456
1974-09-01,2.3165
1974-10-01,2.333
1974-11-01,2.3252
1974-12-01,2.3294
1975-01-01,2.3623
1975-02-01,2.3958
1975-03-01,2.418
1975-04-01,2.3707
1975-05-01,2.3205
1975-06-01,2.2803
1975-07-01,2.1845
1975-08-01,2.1143
1975-09-01,2.0834
1975-10-01,2.0568
1975-11-01,2.0484
1975-12-01,2.0221
1976-01-01,2.0286
1976-02-01,2.0262
1976-03-01,1.9428
1976-04-01,1.8463
1976-05-01,1.8079
1976-06-01,1.764
1976-07-01,1.785
1976-08-01,1.7828
1976-09-01,1.7272
1976-10-01,1.6377
1976-11-01,1.6381
1976-12-01,1.6784
1977-01-01,1.7124
1977-02-01,1.7103
1977-03-01,1.7174
1977-04-01,1.719
1977-05-01,1.7185
1977-06-01,1.7191
1977-07-01,1.7226
1977-08-01,1.7397
1977-09-01,1.7431
1977-10-01,1.7711
1977-11-01,1.8178
1977-12-01,1.8546
1978-01-01,1.9353
1978-02-01,1.9396
1978-03-01,1.9055
1978-04-01,1.8497
1978-05-01,1.8181
1978-06-01,1.8372
1978-07-01,1.8949
1978-08-01,1.9406
1978-09-01,1.9595
1978-10-01,2.0075
1978-11-01,1.9608
1978-12-01,1.9861
1979-01-01,2.0053
1979-02-01,2.0042
1979-03-01,2.0378
1979-04-01,2.0735
1979-05-01,2.0587
1979-06-01,2.1119
1979-07-01,2.2598
1979-08-01,2.2368
1979-09-01,2.1966
1979-10-01,2.1438
1979-11-01,2.1352
1979-12-01,2.2007
1980-01-01,2.2641
1980-02-01,2.2891
1980-03-01,2.2045
1980-04-01,2.2094
1980-05-01,2.302
1980-06-01,2.3359
1980-07-01,2.3732
1980-08-01,2.3704
1980-09-01,2.4012
