date,unscheduled,forecast,confcall,Rate,RateDiff,RateDecision,ChairPerson
1990-02-07,False,False,False,8.25,0.0,0,
1990-03-27,False,False,False,8.25,0.0,0,
1990-04-11,False,False,True,8.25,0.0,0,
1990-05-15,False,False,False,8.25,0.0,0,
1990-07-03,False,False,False,8.25,0.0,0,
1990-08-21,False,False,False,8.0,0.0,0,
1990-09-07,False,False,True,8.0,0.0,0,
1990-09-17,False,False,True,8.0,0.0,0,
1990-10-02,False,False,False,8.0,0.0,0,
1990-11-13,False,False,False,7.5,-0.25,-1,
1990-12-07,False,False,True,7.25,-0.25,-1,
1990-12-18,False,False,False,7.0,-0.25,-1,
1991-01-09,False,False,True,6.75,-0.25,-1,
1991-02-01,False,False,True,6.25,-0.5,-1,
1991-02-06,False,False,False,6.25,0.0,0,
1991-03-26,False,False,False,6.0,0.0,0,
1991-04-12,False,False,True,6.0,0.0,0,
1991-04-30,False,False,True,5.75,-0.25,-1,
1991-05-01,False,False,True,5.75,0.0,0,
1991-05-14,False,False,False,5.75,0.0,0,
1991-06-10,False,False,True,5.75,0.0,0,
1991-06-24,False,False,True,5.75,0.0,0,
1991-07-03,False,False,False,5.75,0.0,0,
1991-08-05,False,False,True,5.5,-0.25,-1,
1991-08-20,False,False,False,5.5,0.0,0,
1991-09-13,False,False,True,5.25,-0.25,-1,
1991-10-01,False,False,False,5.25,0.0,0,
1991-10-30,False,False,True,5.0,-0.25,-1,
1991-11-05,False,False,False,4.75,-0.25,-1,
1991-12-02,False,False,True,4.75,0.0,0,
1991-12-17,False,False,False,4.0,-0.5,-1,
1992-01-09,False,False,True,4.0,0.0,0,
1992-02-05,False,False,False,4.0,0.0,0,
1992-03-11,False,False,True,4.0,0.0,0,
1992-03-31,False,False,False,4.0,0.0,0,
1992-05-19,False,False,False,3.75,0.0,0,
1992-07-01,False,False,False,3.25,-0.5,-1,
1992-07-02,False,False,True,3.25,-0.5,-1,
1992-08-18,False,False,False,3.25,0.0,0,
1992-10-06,False,False,False,3.0,0.0,0,
1992-11-17,False,False,False,3.0,0.0,0,
1992-12-14,False,False,True,3.0,0.0,0,
1992-12-22,False,False,False,3.0,0.0,0,
1993-01-06,False,False,True,3.0,0.0,0,
1993-02-03,False,False,False,3.0,0.0,0,
1993-02-18,False,False,True,3.0,0.0,0,
1993-03-01,False,False,True,3.0,0.0,0,
1993-03-23,False,False,False,3.0,0.0,0,
1993-05-18,False,False,False,3.0,0.0,0,
1993-07-07,False,False,False,3.0,0.0,0,
1993-08-17,False,False,False,3.0,0.0,0,
1993-09-21,False,False,False,3.0,0.0,0,
1993-10-05,False,False,True,3.0,0.0,0,
1993-10-15,False,False,True,3.0,0.0,0,
1993-10-22,False,False,True,3.0,0.0,0,
1993-11-09,False,False,True,3.0,0.0,0,
1993-11-10,False,False,True,3.0,0.0,0,
1993-11-16,False,False,False,3.0,0.0,0,
1993-12-21,False,False,False,3.0,0.0,0,
1994-02-04,False,False,False,3.25,0.25,1,
1994-02-28,False,False,True,3.25,0.0,0,
1994-03-22,False,False,False,3.5,0.25,1,
1994-03-24,False,False,True,3.5,0.0,0,
1994-04-18,False,False,True,3.75,0.25,1,
1994-05-17,False,False,False,4.25,0.5,1,
1994-07-06,False,False,False,4.25,0.0,0,
1994-07-20,False,False,True,4.25,0.0,0,
1994-08-16,False,False,False,4.75,0.5,1,
1994-09-27,False,False,False,4.75,0.0,0,
1994-11-15,False,False,False,5.5,0.75,1,
1994-12-20,False,False,False,5.5,0.0,0,
1994-12-30,False,False,True,5.5,0.0,0,
1995-01-13,False,False,True,5.5,0.0,0,
1995-02-01,False,False,False,6.0,0.5,1,
1995-03-10,False,False,True,6.0,0.0,0,
1995-03-28,False,False,False,6.0,0.0,0,
1995-04-28,False,False,True,6.0,0.0,0,
1995-05-23,False,False,False,6.0,0.0,0,
1995-07-06,False,False,False,5.75,-0.25,-1,
1995-08-22,False,False,False,5.75,0.0,0,
1995-09-26,False,False,False,5.75,0.0,0,
1995-11-15,False,False,False,5.75,0.0,0,
1995-12-19,False,False,False,5.5,-0.25,-1,
1996-01-31,False,False,False,5.25,-0.25,-1,
1996-03-26,False,False,False,5.25,0.0,0,
1996-05-21,False,False,False,5.25,0.0,0,
1996-07-03,False,False,False,5.25,0.0,0,
1996-08-20,False,False,False,5.25,0.0,0,
1996-09-24,False,False,False,5.25,0.0,0,
1996-11-13,False,False,False,5.25,0.0,0,
1996-12-17,False,False,False,5.25,0.0,0,
1997-02-05,False,False,False,5.25,0.0,0,
1997-03-25,False,False,False,5.5,0.25,1,
1997-05-20,False,False,False,5.5,0.0,0,
1997-07-02,False,False,False,5.5,0.0,0,
1997-08-19,False,False,False,5.5,0.0,0,
1997-09-30,False,False,False,5.5,0.0,0,
1997-11-12,False,False,False,5.5,0.0,0,
