date,unscheduled,forecast,confcall,Rate,RateDiff,RateDecision,ChairPerson,GDP_date,GDP_value,GDP_diff_prev,GDP_diff_year,GDPPOT_date,GDPPOT_value,GDPPOT_diff_prev,GDPPOT_diff_year,PCE_date,PCE_value,PCE_diff_prev,PCE_diff_year,CPI_date,CPI_value,CPI_diff_prev,CPI_diff_year,Unemp_date,Unemp_value,Unemp_diff_prev,Unemp_diff_year,Employ_date,Employ_value,Employ_diff_prev,Employ_diff_year,PMI_date,PMI_value,PMI_diff_prev,PMI_diff_year,NMI_date,NMI_value,NMI_diff_prev,NMI_diff_year,Rsales_date,Rsales_value,Rsales_diff_prev,Rsales_diff_year,Hsales_date,Hsales_value,Hsales_diff_prev,Hsales_diff_year,Taylor,Balanced,Inertia,Taylor-Rate,Balanced-Rate,Inertia-Rate,Taylor_diff,Balanced_diff,Inertia_diff
1990-02-07,False,False,False,8.25,0.0,0,,,,,,,,,,,,,,,,,,1990-01-01,-5.4,,,1990-01-01,109199.0,,,1990-01-01,47.2,,,,,,,,,,,1990-01-01,620.0,,,,,,,,,,,
1990-03-27,False,False,False,8.25,0.0,0,,,,,,,,,,1990-01-01,63.856,,,1990-02-01,128.0,0.39215686274509803,,1990-02-01,-5.3,0.10000000000000053,,1990-02-01,109435.0,236.0,,1990-02-01,49.1,1.8999999999999986,,,,,,,,,,1990-02-01,591.0,-4.67741935483871,,,,,,,,,,
1990-04-11,False,False,True,8.25,0.0,0,,,,,,,,,,1990-02-01,64.166,0.48546730142820593,,1990-03-01,128.6,0.46874999999999556,,1990-03-01,-5.2,0.09999999999999964,,1990-03-01,109644.0,209.0,,1990-03-01,49.9,0.7999999999999972,,,,,,,,,,1990-03-01,574.0,-2.8764805414551606,,,,,,,,,,
1990-05-15,False,False,False,8.25,0.0,0,,1990-01-01,9358.289,,,1990-01-01,9344.347813,,,1990-03-01,64.474,0.4800049870648115,,1990-04-01,128.9,0.2332814930015641,,1990-04-01,-5.4,-0.20000000000000018,,1990-04-01,109686.0,42.0,,1990-04-01,50.0,0.10000000000000142,,,,,,,,,,1990-04-01,542.0,-5.574912891986063,,,,,,,,,,
1990-07-03,False,False,False,8.25,0.0,0,,1990-01-01,9358.289,,,1990-01-01,9344.347813,,,1990-05-01,64.864,0.30618872359510024,,1990-05-01,129.1,0.15515903801395547,,1990-05-01,-5.4,0.0,,1990-05-01,109839.0,153.0,,1990-05-01,49.5,-0.5,,,,,,,,,,1990-05-01,534.0,-1.4760147601476015,,,,,,,,,,
1990-08-21,False,False,False,8.0,0.0,0,,1990-04-01,9392.251,0.36290821965425013,,1990-04-01,9409.519331,0.6974431956538645,,1990-06-01,65.116,0.3885051800690604,,1990-07-01,130.5,0.46189376443417574,,1990-07-01,-5.5,-0.2999999999999998,,1990-07-01,109824.0,-32.0,,1990-07-01,46.6,-2.6000000000000014,,,,,,,,,,1990-07-01,542.0,-0.5504587155963303,,,,,,,,,,
1990-09-07,False,False,True,8.0,0.0,0,,1990-04-01,9392.251,0.36290821965425013,,1990-04-01,9409.519331,0.6974431956538645,,1990-07-01,65.28,0.2518582222495262,,1990-07-01,130.5,0.46189376443417574,,1990-08-01,-5.7,-0.20000000000000018,,1990-08-01,109616.0,-208.0,,1990-08-01,46.1,-0.5,,,,,,,,,,1990-08-01,528.0,-2.5830258302583027,,,,,,,,,,
1990-09-17,False,False,True,8.0,0.0,0,,1990-04-01,9392.251,0.36290821965425013,,1990-04-01,9409.519331,0.6974431956538645,,1990-07-01,65.28,0.2518582222495262,,1990-08-01,131.6,0.8429118773946316,,1990-08-01,-5.7,-0.20000000000000018,,1990-08-01,109616.0,-208.0,,1990-08-01,46.1,-0.5,,,,,,,,,,1990-08-01,528.0,-2.5830258302583027,,,,,,,,,,
1990-10-02,False,False,False,8.0,0.0,0,,1990-04-01,9392.251,0.36290821965425013,,1990-04-01,9409.519331,0.6974431956538645,,1990-08-01,65.552,0.4166666666666752,,1990-08-01,131.6,0.8429118773946316,,1990-08-01,-5.7,-0.20000000000000018,,1990-08-01,109616.0,-208.0,,1990-08-01,46.1,-0.5,,,,,,,,,,1990-08-01,528.0,-2.5830258302583027,,,,,,,,,,
1990-11-13,False,False,False,7.5,-0.25,-1,,1990-07-01,9398.499,0.06652292405728502,,1990-07-01,9473.370622,0.6785818568823222,,1990-09-01,65.781,0.34934098120575907,,1990-10-01,133.4,0.6792452830188722,,1990-10-01,-5.9,0.0,,1990-10-01,109367.0,-151.0,,1990-10-01,43.2,-1.2999999999999972,,,,,,,,,,1990-10-01,465.0,-6.25,,,,,,,,,,
