S&P 500 (^SPX) > Financials > Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All values are expressed as per share items. ,Template:,Standard, ,Order:,Latest on Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Period Type:,Quarterly, ,Decimals:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Currency:,Standardized Aggregates Currency, ,Conversion:,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For the Period Ending
","3 months
CQ2 2001","3 months
CQ3 2001","3 months
CQ4 2001","3 months
CQ1 2002","3 months
CQ2 2002","3 months
CQ3 2002","3 months
CQ4 2002","3 months
CQ1 2003","3 months
CQ2 2003","3 months
CQ3 2003","3 months
CQ4 2003","3 months
CQ1 2004","3 months
CQ2 2004","3 months
CQ3 2004","3 months
CQ4 2004","3 months
CQ1 2005","3 months
CQ2 2005","3 months
CQ3 2005","3 months
CQ4 2005","3 months
CQ1 2006","3 months
CQ2 2006","3 months
CQ3 2006","3 months
CQ4 2006","3 months
CQ1 2007","3 months
CQ2 2007","3 months
CQ3 2007","3 months
CQ4 2007","3 months
CQ1 2008","3 months
CQ2 2008","3 months
CQ3 2008","3 months
CQ4 2008","3 months
CQ1 2009","3 months
CQ2 2009","3 months
CQ3 2009","3 months
CQ4 2009","3 months
CQ1 2010","3 months
CQ2 2010","3 months
CQ3 2010","3 months
CQ4 2010","3 months
CQ1 2011","3 months
CQ2 2011","3 months
CQ3 2011","3 months
CQ4 2011","3 months
CQ1 2012","3 months
CQ2 2012","3 months
CQ3 2012","3 months
CQ4 2012","3 months
CQ1 2013","3 months
CQ2 2013","3 months
CQ3 2013","3 months
CQ4 2013","3 months
CQ1 2014","3 months
CQ2 2014","3 months
CQ3 2014","3 months
CQ4 2014","3 months
CQ1 2015","3 months
CQ2 2015","3 months
CQ3 2015","3 months
CQ4 2015","3 months
CQ1 2016","3 months
CQ2 2016","3 months
CQ3 2016","3 months
CQ4 2016","3 months
CQ1 2017","3 months
CQ2 2017","3 months
CQ3 2017","3 months
CQ4 2017","3 months
CQ1 2018","3 months
CQ2 2018","3 months
CQ3 2018","3 months
CQ4 2018","3 months
CQ1 2019","3 months
CQ2 2019","3 months
CQ3 2019","3 months
CQ4 2019","3 months
CQ1 2020","3 months
CQ2 2020","3 months
CQ3 2020","3 months
CQ4 2020","3 months
CQ1 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash And Equivalents, 69.69 , 73.72 , 72.31 , 81.02 , 83.44 , 84.66 , 75.25 , 81.16 , 88.24 , 85.52 , 90.57 , 89.82 , 91.33 , 99.71 , 95.36 , 102.45 , 104.15 , 101.44 , 106.53 , 101.75 , 101.36 , 104.16 , 107.76 , 106.07 , 111.37 , 123.45 , 127.05 , 130.06 , 131.61 , 130.34 , 124.24 , 138.72 , 132.99 , 153.75 , 158.95 , 154.82 , 162.33 , 166.45 , 158.17 , 170.82 , 171.1 , 172.25 , 167.7 , 175.8 , 171.27 , 171.72 , 171.69 , 145.77 , 166.27 , 153.14 , 155.47 , 150.12 , 152.46 , 151.22 , 175.39 , 148.83 , 152.35 , 150.92 , 150.67 , 156.9 , 165.85 , 173.06 , 160.14 , 172.87 , 174.39 , 187.56 , 181.71 , 235.22 , 222.84 , 270.3 , 222.13 , 239.96 , 253.09 , 251.38 , 235.04 , 349.05 , 395.45 , 390.03 , 367.4 , 425.81 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Term Investments, 140.27 , 144.42 , 129.33 , 138.75 , 151.29 , 177.06 , 181.87 , 183.6 , 197.16 , 200.34 , 206.4 , 221.61 , 242.61 , 250.04 , 247.93 , 280.13 , 284.82 , 299.35 , 263.44 , 332.16 , 327.75 , 357.56 , 345.12 , 404.87 , 411.0 , 401.03 , 379.21 , 429.92 , 404.85 , 328.53 , 250.48 , 218.77 , 223.08 , 202.78 , 203.58 , 217.46 , 215.59 , 217.93 , 253.05 , 267.72 , 278.93 , 280.34 , 267.97 , 277.12 , 277.66 , 282.45 , 278.02 , 304.88 , 291.35 , 331.01 , 323.91 , 338.88 , 342.72 , 337.68 , 322.33 , 355.78 , 345.83 , 343.08 , 335.93 , 344.79 , 351.36 , 359.95 , 346.76 , 361.66 , 369.37 , 373.12 , 361.77 , 327.41 , 320.24 , 274.44 , 302.13 , 285.58 , 282.32 , 284.03 , 253.93 , 264.71 , 288.56 , 280.24 , 325.75 , 282.01 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
