"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-01",101.1873,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-02",101.7687,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-03",102.5436,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-04",103.6477,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-05",104.7607,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-06",105.4155,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-07",105.4402,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-08",104.7506,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-09",103.5376,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-10",102.5562,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-11",102.5249,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-12",103.0104,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-01",103.3779,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-02",103.2475,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-03",102.2917,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-04",100.7191,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-05",99.33513,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-06",98.28787,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-07",97.7925,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-08",97.95353,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-09",98.45938,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-10",98.7746,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-11",98.69409,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-12",98.38123,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-01",97.88304,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-02",97.27811,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-03",96.75081,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-04",96.51309,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-05",96.90777,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-06",97.86884,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-07",99.18645,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-08",100.4409,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-09",100.863,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-10",100.9295,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-11",100.9287,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-12",100.9171,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-01",100.8616,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-02",100.4155,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-03",99.8222,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-04",99.41902,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-05",99.07607,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-06",98.74087,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-07",98.26308,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-08",97.63543,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-09",96.95329,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-10",96.38273,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-11",96.06531,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-12",96.02908,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-01",96.38819,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-02",97.07291,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-03",97.89453,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-04",98.63795,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-05",99.1824,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-06",99.46462,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-07",99.49983,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-08",99.57061,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-09",100.0975,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-10",100.8377,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-11",101.5132,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1954-12",102.1767,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-01",102.6782,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-02",103.179,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-03",103.4619,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-04",103.5608,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-05",103.4075,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-06",103.0152,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-07",102.8205,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-08",102.6152,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-09",102.4237,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-10",102.3791,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-11",102.349,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1955-12",102.2864,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-01",101.8594,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-02",101.3615,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-03",100.8671,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-04",100.258,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-05",99.48212,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-06",98.85656,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-07",98.73627,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-08",99.31516,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-09",99.92189,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-10",100.1606,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-11",100.2464,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1956-12",100.1072,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-01",99.83955,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-02",99.30616,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-03",98.61552,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-04",98.04281,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-05",97.89608,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-06",98.0525,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-07",98.17574,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-08",98.14845,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-09",97.90192,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-10",97.3492,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-11",96.74928,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1957-12",96.15277,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-01",95.83689,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-02",96.05394,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-03",96.54631,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-04",97.22452,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-05",98.28732,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-06",99.37863,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-07",100.2914,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-08",101.0072,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-09",101.5602,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-10",101.9349,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-11",102.1008,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1958-12",102.2276,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-01",102.6131,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-02",103.0381,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-03",103.2998,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-04",103.3758,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-05",103.2089,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-06",102.5849,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-07",101.6049,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-08",100.4148,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-09",99.5017,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-10",99.37674,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-11",99.8861,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1959-12",100.6659,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-01",100.8447,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-02",100.0542,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-03",99.02774,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-04",98.22336,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-05",97.79051,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-06",97.78544,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-07",97.96801,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-08",98.23079,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-09",98.25157,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-10",98.14934,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-11",97.94518,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1960-12",97.80592,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-01",97.84776,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-02",98.27559,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-03",99.24689,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-04",100.3732,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-05",101.0446,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-06",101.3054,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1961-07",101.489,
