Dates,S&P 500 Consumer Discretionary (Sector) (^SP500-25) - P/Normalized EPS
Aug-21-2001,31.70x
Aug-22-2001,31.80x
Aug-23-2001,31.69x
Aug-24-2001,32.48x
Aug-27-2001,32.17x
Aug-28-2001,31.72x
Aug-29-2001,31.17x
Aug-30-2001,30.25x
Aug-31-2001,30.67x
Sep-04-2001,30.86x
Sep-05-2001,30.63x
Sep-06-2001,29.62x
Sep-07-2001,28.45x
Sep-10-2001,28.54x
Sep-17-2001,25.80x
Sep-18-2001,25.96x
Sep-19-2001,25.78x
Sep-20-2001,24.76x
Sep-21-2001,24.74x
Sep-24-2001,26.24x
Sep-25-2001,26.42x
Sep-26-2001,26.28x
Sep-27-2001,26.48x
Sep-28-2001,27.07x
Oct-01-2001,26.89x
Oct-02-2001,27.52x
Oct-03-2001,28.53x
Oct-04-2001,28.06x
Oct-05-2001,28.23x
Oct-08-2001,27.46x
Oct-09-2001,27.51x
Oct-10-2001,28.37x
Oct-11-2001,29.29x
Oct-12-2001,28.85x
Oct-15-2001,28.86x
Oct-16-2001,29.11x
Oct-17-2001,28.20x
Oct-18-2001,27.93x
Oct-19-2001,28.36x
Oct-22-2001,28.52x
Oct-23-2001,28.70x
Oct-24-2001,28.52x
Oct-25-2001,28.87x
Oct-26-2001,29.04x
Oct-29-2001,28.09x
Oct-30-2001,27.47x
Oct-31-2001,27.80x
Nov-01-2001,28.36x
Nov-02-2001,29.71x
Nov-05-2001,30.36x
Nov-06-2001,31.01x
Nov-07-2001,30.63x
Nov-08-2001,30.96x
Nov-09-2001,31.16x
Nov-12-2001,31.06x
Nov-13-2001,32.22x
Nov-14-2001,36.01x
Nov-15-2001,36.26x
Nov-16-2001,35.78x
Nov-19-2001,36.53x
Nov-20-2001,36.10x
Nov-21-2001,35.75x
Nov-23-2001,36.24x
Nov-26-2001,36.48x
Nov-27-2001,35.98x
Nov-28-2001,35.42x
Nov-29-2001,35.33x
Nov-30-2001,35.71x
Dec-03-2001,35.20x
Dec-04-2001,35.72x
Dec-05-2001,36.96x
Dec-06-2001,36.69x
Dec-07-2001,36.06x
Dec-10-2001,35.24x
Dec-11-2001,35.32x
Dec-12-2001,35.44x
Dec-13-2001,35.21x
Dec-14-2001,35.73x
Dec-17-2001,35.89x
Dec-18-2001,35.98x
Dec-19-2001,36.13x
Dec-20-2001,35.95x
Dec-21-2001,36.29x
Dec-24-2001,36.25x
Dec-26-2001,36.49x
Dec-27-2001,36.83x
Dec-28-2001,37.08x
Dec-31-2001,36.62x
Jan-02-2002,36.56x
Jan-03-2002,36.61x
Jan-04-2002,37.01x
Jan-07-2002,37.02x
Jan-08-2002,37.05x
Jan-09-2002,36.46x
Jan-10-2002,36.56x
Jan-11-2002,35.96x
Jan-14-2002,35.62x
Jan-15-2002,35.83x
Jan-16-2002,35.33x
Jan-17-2002,35.68x
Jan-18-2002,35.57x
Jan-22-2002,35.63x
Jan-23-2002,36.18x
Jan-24-2002,35.99x
Jan-25-2002,35.66x
Jan-28-2002,36.07x
Jan-29-2002,35.39x
Jan-30-2002,36.06x
Jan-31-2002,36.45x
Feb-01-2002,36.11x
Feb-04-2002,35.42x
Feb-05-2002,35.31x
Feb-06-2002,35.17x
Feb-07-2002,35.09x
Feb-08-2002,35.72x
Feb-11-2002,36.39x
Feb-12-2002,36.48x
Feb-13-2002,36.90x
Feb-14-2002,37.11x
Feb-15-2002,36.57x
Feb-19-2002,35.96x
Feb-20-2002,36.47x
Feb-21-2002,36.03x
Feb-22-2002,36.33x
Feb-25-2002,36.85x
Feb-26-2002,37.04x
Feb-27-2002,36.97x
Feb-28-2002,36.94x
Mar-01-2002,37.58x
Mar-04-2002,38.12x
Mar-05-2002,37.21x
Mar-06-2002,37.59x
Mar-07-2002,37.73x
Mar-08-2002,38.08x
Mar-11-2002,38.18x
