Dates,S&P 500 Consumer Discretionary (Sector) (^SP500-25) - Index Value
Sep-11-1989,77.33
Sep-12-1989,77.33
Sep-13-1989,76.32
Sep-14-1989,75.53
Sep-15-1989,75.66
Sep-18-1989,75.88
Sep-19-1989,75.95
Sep-20-1989,75.63
Sep-21-1989,75.40
Sep-22-1989,75.55
Sep-25-1989,74.96
Sep-26-1989,75.37
Sep-27-1989,75.56
Sep-28-1989,76.16
Sep-29-1989,75.86
Oct-02-1989,76.44
Oct-03-1989,77.36
Oct-04-1989,77.71
Oct-05-1989,77.64
Oct-06-1989,77.89
Oct-09-1989,78.22
Oct-10-1989,78.07
Oct-11-1989,77.53
Oct-12-1989,76.96
Oct-13-1989,72.15
Oct-16-1989,74.04
Oct-17-1989,73.33
Oct-18-1989,73.30
Oct-19-1989,74.63
Oct-20-1989,74.60
Oct-23-1989,74.29
Oct-24-1989,74.21
Oct-25-1989,73.50
Oct-26-1989,72.36
Oct-27-1989,71.66
Oct-30-1989,71.38
Oct-31-1989,72.21
Nov-01-1989,72.39
Nov-02-1989,71.80
Nov-03-1989,71.57
Nov-06-1989,70.41
Nov-07-1989,70.87
Nov-08-1989,71.66
Nov-09-1989,71.29
Nov-10-1989,71.82
Nov-13-1989,72.13
Nov-14-1989,71.60
Nov-15-1989,71.86
Nov-16-1989,71.37
Nov-17-1989,71.61
Nov-20-1989,71.10
Nov-21-1989,70.92
Nov-22-1989,71.04
Nov-24-1989,71.48
Nov-27-1989,71.89
Nov-28-1989,71.78
Nov-29-1989,71.23
Nov-30-1989,71.70
Dec-01-1989,72.50
Dec-04-1989,72.38
Dec-05-1989,72.16
Dec-06-1989,71.96
Dec-07-1989,71.83
Dec-08-1989,71.91
Dec-11-1989,71.63
Dec-12-1989,71.52
Dec-13-1989,71.64
Dec-14-1989,71.10
Dec-15-1989,70.87
Dec-18-1989,69.47
Dec-19-1989,68.88
Dec-20-1989,68.64
Dec-21-1989,69.23
Dec-22-1989,69.75
Dec-26-1989,69.79
Dec-27-1989,70.27
Dec-28-1989,70.72
Dec-29-1989,71.21
Jan-02-1990,73.33
Jan-03-1990,73.15
Jan-04-1990,72.88
Jan-05-1990,72.34
Jan-08-1990,72.47
Jan-09-1990,71.53
Jan-10-1990,70.94
Jan-11-1990,71.07
Jan-12-1990,69.12
Jan-15-1990,68.36
Jan-16-1990,69.24
Jan-17-1990,68.60
Jan-18-1990,68.56
Jan-19-1990,68.86
Jan-22-1990,67.09
Jan-23-1990,67.17
Jan-24-1990,66.59
Jan-25-1990,65.91
Jan-26-1990,65.99
Jan-29-1990,65.64
Jan-30-1990,65.03
Jan-31-1990,66.46
Feb-01-1990,66.24
Feb-02-1990,66.78
Feb-05-1990,66.98
Feb-06-1990,66.48
Feb-07-1990,67.68
Feb-08-1990,67.33
Feb-09-1990,67.59
Feb-12-1990,66.96
Feb-13-1990,67.10
Feb-14-1990,67.34
Feb-15-1990,67.83
Feb-16-1990,67.16
Feb-20-1990,66.15
Feb-21-1990,66.35
Feb-22-1990,65.95
Feb-23-1990,65.59
Feb-26-1990,66.73
Feb-27-1990,67.30
Feb-28-1990,67.68
Mar-01-1990,67.90
Mar-02-1990,68.76
Mar-05-1990,68.66
Mar-06-1990,69.59
Mar-07-1990,69.26
Mar-08-1990,70.25
Mar-09-1990,70.06
Mar-12-1990,70.30
Mar-13-1990,70.05
Mar-14-1990,70.26
Mar-15-1990,70.36
Mar-16-1990,70.96
Mar-19-1990,71.10
Mar-20-1990,70.72
Mar-21-1990,70.31
Mar-22-1990,69.31
Mar-23-1990,69.53
Mar-26-1990,69.88
Mar-27-1990,70.65
Mar-28-1990,70.52
Mar-29-1990,69.99
Mar-30-1990,69.68
Apr-02-1990,69.37
Apr-03-1990,70.40
Apr-04-1990,70.03
Apr-05-1990,70.05
Apr-06-1990,69.89
Apr-09-1990,70.11
Apr-10-1990,70.15
Apr-11-1990,70.38
Apr-12-1990,70.95
Apr-16-1990,70.97
Apr-17-1990,70.73
Apr-18-1990,70.02
Apr-19-1990,69.56
Apr-20-1990,68.96
Apr-23-1990,67.96
Apr-24-1990,67.67
Apr-25-1990,67.94
Apr-26-1990,67.72
Apr-27-1990,66.77
Apr-30-1990,67.08
May-01-1990,67.50
May-02-1990,68.14
May-03-1990,68.17
May-04-1990,68.67
May-07-1990,69.00
May-08-1990,69.08
May-09-1990,69.14
May-10-1990,69.38
May-11-1990,71.24
May-14-1990,71.90
May-15-1990,71.86
May-16-1990,71.76
May-17-1990,71.83
May-18-1990,72.06
May-21-1990,73.27
May-22-1990,73.34
May-23-1990,73.65
May-24-1990,73.58
May-25-1990,72.85
May-29-1990,74.20
May-30-1990,74.28
May-31-1990,74.27
Jun-01-1990,74.90
Jun-04-1990,75.97
Jun-05-1990,75.77
Jun-06-1990,75.58
Jun-07-1990,75.18
Jun-08-1990,74.04
Jun-11-1990,74.72
Jun-12-1990,75.91
Jun-13-1990,75.82
Jun-14-1990,75.55
Jun-15-1990,75.54
Jun-18-1990,74.27
Jun-19-1990,74.63
Jun-20-1990,74.60
Jun-21-1990,74.69
Jun-22-1990,73.66
Jun-25-1990,72.71
Jun-26-1990,72.24
Jun-27-1990,72.88
Jun-28-1990,73.60
Jun-29-1990,73.78
Jul-02-1990,73.99
Jul-03-1990,74.18
Jul-05-1990,73.04
Jul-06-1990,73.50
Jul-09-1990,74.59
Jul-10-1990,74.10
Jul-11-1990,74.96
Jul-12-1990,75.64
Jul-13-1990,75.99
Jul-16-1990,76.53
Jul-17-1990,75.91
Jul-18-1990,74.59
Jul-19-1990,74.56
Jul-20-1990,73.49
Jul-23-1990,71.68
Jul-24-1990,71.11
Jul-25-1990,71.19
Jul-26-1990,71.02
Jul-27-1990,70.08
Jul-30-1990,70.08
Jul-31-1990,69.59
Aug-01-1990,69.23
Aug-02-1990,67.76
Aug-03-1990,66.39
Aug-06-1990,63.60
Aug-07-1990,63.29
Aug-08-1990,64.60
Aug-09-1990,65.15
Aug-10-1990,63.78
Aug-13-1990,64.34
Aug-14-1990,64.63
Aug-15-1990,64.62
Aug-16-1990,62.64
Aug-17-1990,61.04
Aug-20-1990,61.10
Aug-21-1990,59.76
Aug-22-1990,58.87
Aug-23-1990,57.01
Aug-24-1990,58.49
Aug-27-1990,60.97
Aug-28-1990,61.09
Aug-29-1990,61.53
Aug-30-1990,60.20
Aug-31-1990,60.89
Sep-04-1990,60.86
Sep-05-1990,60.81
Sep-06-1990,59.53
Sep-07-1990,59.94
Sep-10-1990,59.46
Sep-11-1990,59.31
Sep-12-1990,59.43
Sep-13-1990,58.59
Sep-14-1990,58.23
Sep-17-1990,58.18
Sep-18-1990,58.46
Sep-19-1990,57.84
Sep-20-1990,56.57
Sep-21-1990,56.57
Sep-24-1990,55.09
Sep-25-1990,55.92
Sep-26-1990,55.54
Sep-27-1990,54.86
Sep-28-1990,55.66
Oct-01-1990,57.50
Oct-02-1990,58.16
Oct-03-1990,56.69
Oct-04-1990,56.74
Oct-05-1990,56.51
Oct-08-1990,56.61
Oct-09-1990,54.44
Oct-10-1990,53.41
Oct-11-1990,52.37
Oct-12-1990,53.61
Oct-15-1990,54.22
Oct-16-1990,53.26
Oct-17-1990,52.89
Oct-18-1990,54.53
Oct-19-1990,56.12
Oct-22-1990,57.08
Oct-23-1990,56.56
Oct-24-1990,56.25
Oct-25-1990,55.56
Oct-26-1990,54.12
Oct-29-1990,53.52
Oct-30-1990,53.50
Oct-31-1990,53.75
Nov-01-1990,54.00
Nov-02-1990,54.97
Nov-05-1990,55.80
Nov-06-1990,55.40
Nov-07-1990,54.34
Nov-08-1990,54.56
Nov-09-1990,55.90
Nov-12-1990,57.46
Nov-13-1990,57.85
Nov-14-1990,58.84
Nov-15-1990,57.93
Nov-16-1990,57.91
Nov-19-1990,58.59
Nov-20-1990,57.90
Nov-21-1990,57.79
Nov-23-1990,57.56
Nov-26-1990,57.95
Nov-27-1990,58.29
Nov-28-1990,58.42
Nov-29-1990,58.12
Nov-30-1990,59.00
Dec-03-1990,59.95
Dec-04-1990,60.23
Dec-05-1990,61.05
Dec-06-1990,61.30
Dec-07-1990,60.62
Dec-10-1990,60.84
Dec-11-1990,60.22
Dec-12-1990,61.11
Dec-13-1990,60.75
Dec-14-1990,59.89
Dec-17-1990,59.74
Dec-18-1990,60.94
Dec-19-1990,61.04
Dec-20-1990,60.85
Dec-21-1990,61.41
Dec-24-1990,60.86
Dec-26-1990,60.80
Dec-27-1990,60.17
Dec-28-1990,60.29
Dec-31-1990,60.57
Jan-02-1991,60.25
Jan-03-1991,59.69
Jan-04-1991,59.58
Jan-07-1991,58.23
Jan-08-1991,57.99
Jan-09-1991,57.39
Jan-10-1991,58.13
Jan-11-1991,58.45
Jan-14-1991,57.57
Jan-15-1991,58.00
Jan-16-1991,59.00
Jan-17-1991,61.85
Jan-18-1991,62.80
Jan-21-1991,62.24
Jan-22-1991,61.37
Jan-23-1991,62.03
Jan-24-1991,62.83
Jan-25-1991,63.04
Jan-28-1991,63.17
Jan-29-1991,63.39
Jan-30-1991,65.13
Jan-31-1991,65.92
Feb-01-1991,66.26
Feb-04-1991,67.59
Feb-05-1991,67.94
Feb-06-1991,68.86
Feb-07-1991,68.71
Feb-08-1991,69.07
Feb-11-1991,71.13
Feb-12-1991,70.31
Feb-13-1991,71.15
Feb-14-1991,69.88
Feb-15-1991,71.00
Feb-19-1991,71.22
Feb-20-1991,70.04
Feb-21-1991,70.02
Feb-22-1991,70.24
Feb-25-1991,70.42
Feb-26-1991,69.36
Feb-27-1991,70.22
Feb-28-1991,70.56
Mar-01-1991,71.52
Mar-04-1991,71.74
Mar-05-1991,73.62
Mar-06-1991,73.73
Mar-07-1991,73.70
Mar-08-1991,73.37
Mar-11-1991,72.75
Mar-12-1991,72.06
Mar-13-1991,73.01
Mar-14-1991,72.57
Mar-15-1991,72.78
Mar-18-1991,72.58
Mar-19-1991,71.52
Mar-20-1991,71.49
Mar-21-1991,70.95
Mar-22-1991,71.50
Mar-25-1991,72.01
Mar-26-1991,73.80
Mar-27-1991,73.57
Mar-28-1991,73.40
Apr-01-1991,72.53
Apr-02-1991,74.43
Apr-03-1991,74.51
Apr-04-1991,74.99
Apr-05-1991,73.96
Apr-08-1991,75.01
Apr-09-1991,73.77
Apr-10-1991,73.55
Apr-11-1991,74.97
Apr-12-1991,75.70
Apr-15-1991,75.59
Apr-16-1991,76.76
Apr-17-1991,77.35
Apr-18-1991,77.22
Apr-19-1991,76.61
Apr-22-1991,75.76
Apr-23-1991,75.86
Apr-24-1991,76.68
Apr-25-1991,75.61
Apr-26-1991,75.36
Apr-29-1991,73.88
Apr-30-1991,74.16
May-01-1991,75.23
May-02-1991,75.53
May-03-1991,75.79
May-06-1991,75.60
May-07-1991,74.97
May-08-1991,75.24
May-09-1991,76.57
May-10-1991,74.98
May-13-1991,75.45
May-14-1991,74.34
May-15-1991,73.65
May-16-1991,74.27
May-17-1991,74.33
May-20-1991,74.14
May-21-1991,75.17
May-22-1991,75.40
May-23-1991,75.17
May-24-1991,75.86
May-28-1991,76.97
May-29-1991,77.50
May-30-1991,78.59
May-31-1991,79.97
Jun-03-1991,79.87
Jun-04-1991,79.50
Jun-05-1991,78.81
Jun-06-1991,78.33
Jun-07-1991,77.34
Jun-10-1991,77.08
Jun-11-1991,78.05
Jun-12-1991,76.92
Jun-13-1991,77.18
Jun-14-1991,78.32
Jun-17-1991,77.91
Jun-18-1991,77.43
Jun-19-1991,76.73
Jun-20-1991,76.97
Jun-21-1991,77.58
Jun-24-1991,75.45
