DATE,ADXTNO
1992-02-01,82931
1992-03-01,85725
1992-04-01,86604
1992-05-01,88340
1992-06-01,88219
1992-07-01,87727
1992-08-01,87497
1992-09-01,88681
1992-10-01,87064
1992-11-01,89497
1992-12-01,91359
1993-01-01,91074
1993-02-01,90448
1993-03-01,91923
1993-04-01,91700
1993-05-01,91493
1993-06-01,91139
1993-07-01,92496
1993-08-01,93424
1993-09-01,94082
1993-10-01,96033
1993-11-01,94450
1993-12-01,97857
1994-01-01,97250
1994-02-01,98720
1994-03-01,98497
1994-04-01,101101
1994-05-01,102623
1994-06-01,104475
1994-07-01,104841
1994-08-01,103904
1994-09-01,104826
1994-10-01,107955
1994-11-01,107142
1994-12-01,109357
1995-01-01,111899
1995-02-01,109484
1995-03-01,109712
1995-04-01,110480
1995-05-01,111794
1995-06-01,109440
1995-07-01,108990
1995-08-01,112316
1995-09-01,113019
1995-10-01,115650
1995-11-01,113473
1995-12-01,116432
1996-01-01,112070
1996-02-01,110398
1996-03-01,114653
1996-04-01,113802
1996-05-01,117175
1996-06-01,117889
1996-07-01,116598
1996-08-01,117708
1996-09-01,116336
1996-10-01,119499
1996-11-01,119569
1996-12-01,116695
1997-01-01,118690
1997-02-01,123490
1997-03-01,123185
1997-04-01,125909
1997-05-01,122860
1997-06-01,126457
1997-07-01,128937
1997-08-01,127817
1997-09-01,130673
1997-10-01,127387
1997-11-01,128586
1997-12-01,128191
1998-01-01,127262
1998-02-01,130630
1998-03-01,128771
1998-04-01,126519
1998-05-01,129740
1998-06-01,130048
1998-07-01,126102
1998-08-01,126589
1998-09-01,128820
1998-10-01,125391
1998-11-01,128102
1998-12-01,130753
1999-01-01,127125
1999-02-01,130143
1999-03-01,129497
1999-04-01,130468
1999-05-01,130627
1999-06-01,130642
1999-07-01,134206
1999-08-01,134061
1999-09-01,135632
1999-10-01,137171
1999-11-01,134658
1999-12-01,139078
2000-01-01,139613
2000-02-01,132425
2000-03-01,139841
2000-04-01,141338
2000-05-01,137890
2000-06-01,143496
2000-07-01,137968
2000-08-01,138633
2000-09-01,141463
2000-10-01,137264
2000-11-01,136045
2000-12-01,135323
2001-01-01,131646
2001-02-01,131335
2001-03-01,125568
2001-04-01,120800
2001-05-01,126158
2001-06-01,125138
2001-07-01,121761
2001-08-01,122061
2001-09-01,118407
2001-10-01,115125
2001-11-01,117164
2001-12-01,118387
2002-01-01,113631.0
2002-02-01,115732.0
2002-03-01,114652.0
2002-04-01,118882.0
2002-05-01,119944.0
2002-06-01,117193.0
2002-07-01,116993.0
2002-08-01,117043.0
2002-09-01,116461.0
