DATE,ACDGVS
1992-01-01,18331
1992-02-01,19558
1992-03-01,20770
1992-04-01,21024
1992-05-01,21813
1992-06-01,21069
1992-07-01,22602
1992-08-01,21667
1992-09-01,20919
1992-10-01,21634
1992-11-01,22002
1992-12-01,21632
1993-01-01,22618
1993-02-01,22856
1993-03-01,22419
1993-04-01,22331
1993-05-01,22900
1993-06-01,23051
1993-07-01,22416
1993-08-01,21412
1993-09-01,22409
1993-10-01,23829
1993-11-01,23857
1993-12-01,24087
1994-01-01,25259
1994-02-01,25206
1994-03-01,25064
1994-04-01,25849
1994-05-01,26071
1994-06-01,26260
1994-07-01,26404
1994-08-01,26885
1994-09-01,26506
1994-10-01,26752
1994-11-01,27454
1994-12-01,28042
1995-01-01,27803
1995-02-01,27590
1995-03-01,27231
1995-04-01,27283
1995-05-01,26233
1995-06-01,26348
1995-07-01,26146
1995-08-01,26579
1995-09-01,27572
1995-10-01,27329
1995-11-01,26372
1995-12-01,27242
1996-01-01,25814
1996-02-01,25916
1996-03-01,25926
1996-04-01,27559
1996-05-01,27867
1996-06-01,27970
1996-07-01,28252
1996-08-01,27288
1996-09-01,28683
1996-10-01,27466
1996-11-01,28108
1996-12-01,27119
1997-01-01,28355
1997-02-01,28993
1997-03-01,29161
1997-04-01,29569
1997-05-01,28825
1997-06-01,29719
1997-07-01,32062
1997-08-01,30473
1997-09-01,30437
1997-10-01,30536
1997-11-01,31834
1997-12-01,31565
1998-01-01,29413
1998-02-01,31658
1998-03-01,31519
1998-04-01,30959
1998-05-01,31737
1998-06-01,27990
1998-07-01,27805
1998-08-01,31019
1998-09-01,31611
1998-10-01,32452
1998-11-01,32765
1998-12-01,33306
1999-01-01,34041
1999-02-01,35462
1999-03-01,34595
1999-04-01,34180
1999-05-01,35053
1999-06-01,34260
1999-07-01,33461
1999-08-01,34635
1999-09-01,34278
1999-10-01,34337
1999-11-01,34147
1999-12-01,33831
2000-01-01,35165
2000-02-01,33217
2000-03-01,33522
2000-04-01,34092
2000-05-01,32494
2000-06-01,33532
2000-07-01,31997
2000-08-01,30014
2000-09-01,33325
2000-10-01,31858
2000-11-01,30617
2000-12-01,30661
2001-01-01,28784
2001-02-01,30436
2001-03-01,31399
2001-04-01,30138
2001-05-01,31444
2001-06-01,30757
2001-07-01,30869
2001-08-01,31235
2001-09-01,29257
2001-10-01,30018
2001-11-01,31017
2001-12-01,31846
2002-01-01,32098.0
2002-02-01,31352.0
2002-03-01,29955.0
2002-04-01,34019.0
2002-05-01,33389.0
2002-06-01,32882.0
2002-07-01,34501.0
2002-08-01,34533.0
2002-09-01,33168.0
2002-10-01,34246.0
2002-11-01,33851.0
2002-12-01,32738.0
2003-01-01,34978.0
2003-02-01,34046.0
2003-03-01,34440.0
2003-04-01,33174.0
2003-05-01,34439.0
2003-06-01,34270.0
2003-07-01,36294.0
2003-08-01,34180.0
2003-09-01,36756.0
2003-10-01,35881.0
2003-11-01,35361.0
2003-12-01,35033.0
2004-01-01,34643.0
2004-02-01,35742.0
2004-03-01,37057.0
2004-04-01,35184.0
2004-05-01,33729.0
2004-06-01,34391.0
2004-07-01,31332.0
2004-08-01,34317.0
2004-09-01,34217.0
2004-10-01,34102.0
2004-11-01,35078.0
2004-12-01,35708.0
2005-01-01,34469.0
2005-02-01,35012.0
2005-03-01,33337.0
2005-04-01,35339.0
2005-05-01,34681.0
2005-06-01,34774.0
2005-07-01,34371.0
2005-08-01,35265.0
2005-09-01,37340.0
2005-10-01,36140.0
2005-11-01,35255.0
2005-12-01,36436.0
2006-01-01,36151.0
2006-02-01,35673.0
2006-03-01,36612.0
2006-04-01,34914.0
2006-05-01,36853.0
2006-06-01,36755.0
2006-07-01,31960.0
2006-08-01,34301.0
2006-09-01,33317.0
2006-10-01,33635.0
2006-11-01,33670.0
2006-12-01,36523.0
2007-01-01,33759
2007-02-01,34489
2007-03-01,35290
2007-04-01,35943
2007-05-01,35938
2007-06-01,35706
2007-07-01,36303
2007-08-01,36273
2007-09-01,34331
2007-10-01,35035
2007-11-01,34807
2007-12-01,34163
2008-01-01,34287
2008-02-01,34070
2008-03-01,30995
2008-04-01,31668
2008-05-01,30603
2008-06-01,30570
2008-07-01,29348
2008-08-01,28612
2008-09-01,28972
2008-10-01,27361
2008-11-01,26145
2008-12-01,24636
2009-01-01,22486
2009-02-01,22202
2009-03-01,22255
2009-04-01,21957
2009-05-01,20927
2009-06-01,19511
2009-07-01,21442
2009-08-01,22290
2009-09-01,22812
2009-10-01,23138
2009-11-01,24514
2009-12-01,24966
2010-01-01,26006
2010-02-01,24158
2010-03-01,25028
2010-04-01,25504
2010-05-01,26152
2010-06-01,26577
2010-07-01,27976
2010-08-01,28306
2010-09-01,28838
2010-10-01,28446
2010-11-01,27740
2010-12-01,28892
2011-01-01,28865
2011-02-01,29096
2011-03-01,30718
2011-04-01,27799
2011-05-01,27828
2011-06-01,28228
2011-07-01,29837
2011-08-01,28049
2011-09-01,27548
2011-10-01,29554
2011-11-01,28684
2011-12-01,28902
2012-01-01,30053
2012-02-01,30043
2012-03-01,30221
2012-04-01,32211
2012-05-01,32050
2012-06-01,31903
2012-07-01,31587
2012-08-01,31013
2012-09-01,31077
2012-10-01,30334
2012-11-01,31056
2012-12-01,31464
2013-01-01,32268
2013-02-01,33294
2013-03-01,32562
2013-04-01,33269
2013-05-01,33044
2013-06-01,33161
2013-07-01,32377
2013-08-01,33379
2013-09-01,33902
2013-10-01,34649
2013-11-01,35997
2013-12-01,33469
2014-01-01,32852
2014-02-01,34831
2014-03-01,35028
2014-04-01,34275
2014-05-01,35939
2014-06-01,35088
2014-07-01,37784
2014-08-01,35810
2014-09-01,35981
2014-10-01,36647
2014-11-01,35972
2014-12-01,37609
2015-01-01,35231
2015-02-01,35245
2015-03-01,38202
2015-04-01,37243
2015-05-01,37888
2015-06-01,38810
2015-07-01,39942
2015-08-01,38850
2015-09-01,39685
2015-10-01,38180
2015-11-01,39531
2015-12-01,39053
2016-01-01,39788
2016-02-01,40352
2016-03-01,38809
2016-04-01,39546
2016-05-01,38215
2016-06-01,38911
2016-07-01,39022
2016-08-01,39391
2016-09-01,39427
2016-10-01,38919
2016-11-01,38413
2016-12-01,39173
2017-01-01,39208
2017-02-01,37887
2017-03-01,37851
2017-04-01,36759
2017-05-01,38487
2017-06-01,37891
2017-07-01,36272
2017-08-01,37452
2017-09-01,37247
2017-10-01,38042
2017-11-01,38547
2017-12-01,37908
2018-01-01,38579
2018-02-01,39130
2018-03-01,39106
2018-04-01,40379
2018-05-01,37026
2018-06-01,39060
2018-07-01,39865
2018-08-01,39619
2018-09-01,39961
2018-10-01,40916
2018-11-01,40492
2018-12-01,40993
2019-01-01,40351
2019-02-01,40104
2019-03-01,40335
2019-04-01,38680
2019-05-01,39025
2019-06-01,40353
2019-07-01,39891
2019-08-01,39226
2019-09-01,38731
2019-10-01,38029
2019-11-01,37932
2019-12-01,37424
2020-01-01,36637
2020-02-01,38187
2020-03-01,30165
2020-04-01,13834
2020-05-01,17244
2020-06-01,33949
2020-07-01,42276
2020-08-01,39761
2020-09-01,40119
2020-10-01,39283
2020-11-01,40123
2020-12-01,41112
2021-01-01,40288
2021-02-01,36849
2021-03-01,38748
