DATE,ADXDVS
1992-01-01,108968
1992-02-01,110649
1992-03-01,115979
1992-04-01,116865
1992-05-01,119041
1992-06-01,118769
1992-07-01,120731
1992-08-01,118837
1992-09-01,117911
1992-10-01,119302
1992-11-01,120251
1992-12-01,120847
1993-01-01,121137
1993-02-01,122621
1993-03-01,123281
1993-04-01,123117
1993-05-01,124805
1993-06-01,125776
1993-07-01,122757
1993-08-01,124260
1993-09-01,126253
1993-10-01,129575
1993-11-01,129532
1993-12-01,132069
1994-01-01,133502
1994-02-01,134341
1994-03-01,133935
1994-04-01,136532
1994-05-01,138491
1994-06-01,139067
1994-07-01,141259
1994-08-01,142076
1994-09-01,141056
1994-10-01,143397
1994-11-01,145901
1994-12-01,149674
1995-01-01,149781
1995-02-01,150488
1995-03-01,148675
1995-04-01,150682
1995-05-01,148289
1995-06-01,149805
1995-07-01,148603
1995-08-01,151040
1995-09-01,155081
1995-10-01,153688
1995-11-01,153382
1995-12-01,159298
1996-01-01,149722
1996-02-01,148283
1996-03-01,153721
1996-04-01,155193
1996-05-01,158770
1996-06-01,161427
1996-07-01,158164
1996-08-01,158882
1996-09-01,161719
1996-10-01,158520
1996-11-01,162851
1996-12-01,162306
1997-01-01,161510
1997-02-01,166831
1997-03-01,168717
1997-04-01,171169
1997-05-01,168007
1997-06-01,172649
1997-07-01,176176
1997-08-01,174538
1997-09-01,175472
1997-10-01,173605
1997-11-01,177947
1997-12-01,177181
1998-01-01,173126
1998-02-01,180866
1998-03-01,181110
1998-04-01,177528
1998-05-01,179078
1998-06-01,173370
1998-07-01,171449
1998-08-01,177447
1998-09-01,180567
1998-10-01,182588
1998-11-01,184218
1998-12-01,183673
1999-01-01,185217
1999-02-01,186233
1999-03-01,183455
1999-04-01,185536
1999-05-01,188216
1999-06-01,186186
1999-07-01,186321
1999-08-01,190004
1999-09-01,187172
1999-10-01,190493
1999-11-01,187789
1999-12-01,189884
2000-01-01,196933
2000-02-01,185800
2000-03-01,190874
2000-04-01,196271
2000-05-01,191470
2000-06-01,193104
2000-07-01,190897
2000-08-01,188467
2000-09-01,195300
2000-10-01,188963
2000-11-01,186226
2000-12-01,189581
2001-01-01,181274
2001-02-01,185070
2001-03-01,182213
2001-04-01,174314
2001-05-01,179239
2001-06-01,176310
2001-07-01,172419
2001-08-01,172208
2001-09-01,166776
2001-10-01,165961
2001-11-01,166803
2001-12-01,167890
2002-01-01,167468.0
2002-02-01,168032.0
2002-03-01,166802.0
2002-04-01,172456.0
2002-05-01,172278.0
2002-06-01,170973.0
2002-07-01,171241.0
2002-08-01,172801.0
2002-09-01,170015.0
2002-10-01,170633.0
2002-11-01,170540.0
2002-12-01,164357.0
2003-01-01,167909.0
2003-02-01,169148.0
2003-03-01,169691.0
2003-04-01,165487.0
2003-05-01,167968.0
2003-06-01,169136.0
2003-07-01,170925.0
2003-08-01,167766.0
2003-09-01,173389.0
2003-10-01,173530.0
2003-11-01,175344.0
2003-12-01,173113.0
2004-01-01,171833.0
2004-02-01,172852.0
