DATE,ADXTVS
1992-01-01,85783
1992-02-01,85586
1992-03-01,89292
1992-04-01,90159
1992-05-01,90888
1992-06-01,91041
1992-07-01,91344
1992-08-01,90949
1992-09-01,91507
1992-10-01,91142
1992-11-01,91663
1992-12-01,92799
1993-01-01,92474
1993-02-01,93603
1993-03-01,94051
1993-04-01,93529
1993-05-01,94745
1993-06-01,95981
1993-07-01,94800
1993-08-01,95481
1993-09-01,97556
1993-10-01,98311
1993-11-01,99202
1993-12-01,101044
1994-01-01,100249
1994-02-01,101586
1994-03-01,101346
1994-04-01,103550
1994-05-01,105032
1994-06-01,104917
1994-07-01,106908
1994-08-01,106961
1994-09-01,107119
1994-10-01,109161
1994-11-01,110776
1994-12-01,113351
1995-01-01,113738
1995-02-01,114168
1995-03-01,113152
1995-04-01,114841
1995-05-01,114213
1995-06-01,115141
1995-07-01,114674
1995-08-01,117231
1995-09-01,118751
1995-10-01,118404
1995-11-01,118341
1995-12-01,122489
1996-01-01,116520
1996-02-01,114408
1996-03-01,121193
1996-04-01,119289
1996-05-01,121407
1996-06-01,123961
1996-07-01,120317
1996-08-01,122021
1996-09-01,123621
1996-10-01,123246
1996-11-01,125733
1996-12-01,125711
1997-01-01,123591
1997-02-01,127517
1997-03-01,129195
1997-04-01,130278
1997-05-01,128356
1997-06-01,132345
1997-07-01,132019
1997-08-01,132814
1997-09-01,134279
1997-10-01,132904
1997-11-01,134176
1997-12-01,134402
1998-01-01,132641
1998-02-01,136763
1998-03-01,136821
1998-04-01,133872
1998-05-01,134501
1998-06-01,135674
1998-07-01,133742
1998-08-01,133372
1998-09-01,135257
1998-10-01,134174
1998-11-01,134947
1998-12-01,136105
1999-01-01,134904
1999-02-01,136069
1999-03-01,134581
1999-04-01,135545
1999-05-01,137371
1999-06-01,137741
1999-07-01,138520
1999-08-01,138601
1999-09-01,138499
1999-10-01,140057
1999-11-01,139535
1999-12-01,140192
2000-01-01,143588
2000-02-01,138999
2000-03-01,144089
2000-04-01,146804
2000-05-01,143583
2000-06-01,144648
2000-07-01,145229
2000-08-01,144261
2000-09-01,147188
2000-10-01,144459
2000-11-01,143011
2000-12-01,145900
2001-01-01,141014
2001-02-01,141353
2001-03-01,137978
2001-04-01,132263
2001-05-01,134466
2001-06-01,131896
2001-07-01,128906
2001-08-01,128510
2001-09-01,125474
2001-10-01,124509
2001-11-01,122823
2001-12-01,123685
2002-01-01,122491.0
2002-02-01,123681.0
2002-03-01,123893.0
2002-04-01,124906.0
2002-05-01,125906.0
2002-06-01,125663.0
2002-07-01,123797.0
2002-08-01,125158.0
2002-09-01,124162.0
2002-10-01,123031.0
2002-11-01,124503.0
2002-12-01,121753.0
2003-01-01,121784.0
2003-02-01,121974.0
2003-03-01,123212.0
2003-04-01,121299.0
2003-05-01,122560.0
2003-06-01,123100.0
2003-07-01,123235.0
2003-08-01,123474.0
2003-09-01,125524.0
2003-10-01,126429.0
2003-11-01,126835.0
2003-12-01,127130.0
2004-01-01,125765.0
2004-02-01,125119.0
2004-03-01,131293.0
2004-04-01,130910.0
2004-05-01,131205.0
2004-06-01,132538.0
2004-07-01,134136.0
2004-08-01,135137.0
2004-09-01,135591.0
2004-10-01,136922.0
2004-11-01,137778.0
2004-12-01,141205.0
2005-01-01,142552.0
2005-02-01,141950.0
2005-03-01,141737.0
2005-04-01,142910.0
2005-05-01,142186.0
2005-06-01,142868.0
2005-07-01,141289.0
2005-08-01,143728.0
2005-09-01,145954.0
2005-10-01,147965.0
2005-11-01,149807.0
2005-12-01,152999.0
2006-01-01,152422.0
2006-02-01,155153.0
2006-03-01,155580.0
2006-04-01,152135.0
2006-05-01,155613.0
2006-06-01,156905.0
2006-07-01,153970.0
2006-08-01,156696.0
2006-09-01,156232.0
2006-10-01,154923.0
2006-11-01,155800.0
2006-12-01,159817.0
2007-01-01,156537
2007-02-01,159061
2007-03-01,160867
2007-04-01,162731
2007-05-01,163044
2007-06-01,162926
2007-07-01,160334
2007-08-01,162129
2007-09-01,162705
2007-10-01,161918
2007-11-01,163644
2007-12-01,164634
2008-01-01,166438
2008-02-01,165837
2008-03-01,164518
2008-04-01,167960
2008-05-01,166723
2008-06-01,167474
2008-07-01,166859
2008-08-01,163333
2008-09-01,162247
2008-10-01,155106
2008-11-01,148600
2008-12-01,143092
2009-01-01,132236
2009-02-01,131318
2009-03-01,127295
2009-04-01,123014
2009-05-01,122061
2009-06-01,122604
2009-07-01,125279
2009-08-01,124536
2009-09-01,125860
2009-10-01,127216
2009-11-01,128435
2009-12-01,129694
2010-01-01,131591
2010-02-01,131937
2010-03-01,133474
2010-04-01,136592
2010-05-01,138101
2010-06-01,136308
2010-07-01,136993
2010-08-01,138039
2010-09-01,138881
2010-10-01,139233
2010-11-01,141168
2010-12-01,142079
2011-01-01,144846
2011-02-01,143658
2011-03-01,147499
2011-04-01,146794
2011-05-01,147747
2011-06-01,148614
2011-07-01,149187
2011-08-01,152122
2011-09-01,151068
2011-10-01,152072
2011-11-01,152426
2011-12-01,154326
