DATE,EXUSAL
1971-01-01,1.1181
1971-02-01,1.1238
1971-03-01,1.1243
1971-04-01,1.1238
1971-05-01,1.1243
1971-06-01,1.1243
1971-07-01,1.1241
1971-08-01,1.1316
1971-09-01,1.1478
1971-10-01,1.1577
1971-11-01,1.1589
1971-12-01,1.1748
1972-01-01,1.191
1972-02-01,1.191
1972-03-01,1.191
1972-04-01,1.191
1972-05-01,1.191
1972-06-01,1.191
1972-07-01,1.191
1972-08-01,1.1911
1972-09-01,1.191
1972-10-01,1.1907
1972-11-01,1.1909
1972-12-01,1.2074
1973-01-01,1.2716
1973-02-01,1.3546
1973-03-01,1.4129
1973-04-01,1.415
1973-05-01,1.415
1973-06-01,1.4158
1973-07-01,1.4178
1973-08-01,1.4148
1973-09-01,1.4683
1973-10-01,1.4823
1973-11-01,1.4822
1973-12-01,1.4833
1974-01-01,1.4823
1974-02-01,1.485
1974-03-01,1.4855
1974-04-01,1.4841
1974-05-01,1.4844
1974-06-01,1.4834
1974-07-01,1.4799
1974-08-01,1.4824
1974-09-01,1.4487
1974-10-01,1.3093
1974-11-01,1.311
1974-12-01,1.3172
1975-01-01,1.3295
1975-02-01,1.348
1975-03-01,1.3585
1975-04-01,1.3416
1975-05-01,1.3404
1975-06-01,1.3355
1975-07-01,1.3095
1975-08-01,1.2815
1975-09-01,1.2687
1975-10-01,1.2626
1975-11-01,1.2626
1975-12-01,1.2538
1976-01-01,1.2565
1976-02-01,1.2585
1976-03-01,1.2479
1976-04-01,1.2372
1976-05-01,1.2337
1976-06-01,1.2275
1976-07-01,1.2359
1976-08-01,1.2418
1976-09-01,1.2425
1976-10-01,1.234
1976-11-01,1.2066
1976-12-01,1.0529
1977-01-01,1.0853
1977-02-01,1.0904
1977-03-01,1.0994
1977-04-01,1.1053
1977-05-01,1.1031
1977-06-01,1.108
1977-07-01,1.122
1977-08-01,1.1047
1977-09-01,1.1037
1977-10-01,1.119
1977-11-01,1.127
1977-12-01,1.1336
1978-01-01,1.1382
1978-02-01,1.1356
1978-03-01,1.1383
1978-04-01,1.1397
1978-05-01,1.1276
1978-06-01,1.1383
1978-07-01,1.1494
1978-08-01,1.1541
1978-09-01,1.1529
1978-10-01,1.1687
1978-11-01,1.1453
1978-12-01,1.1415
1979-01-01,1.1404
1979-02-01,1.1312
1979-03-01,1.1215
1979-04-01,1.1085
1979-05-01,1.1057
1979-06-01,1.1111
1979-07-01,1.1283
1979-08-01,1.1283
