DATE,EXUSEU
1999-01-01,1.1591
1999-02-01,1.1203
1999-03-01,1.0886
1999-04-01,1.0701
1999-05-01,1.0630
1999-06-01,1.0377
1999-07-01,1.0370
1999-08-01,1.0605
1999-09-01,1.0497
1999-10-01,1.0706
1999-11-01,1.0328
1999-12-01,1.0110
2000-01-01,1.0131
2000-02-01,0.9834
2000-03-01,0.9643
2000-04-01,0.9449
2000-05-01,0.9059
2000-06-01,0.9505
2000-07-01,0.9386
2000-08-01,0.9045
2000-09-01,0.8695
2000-10-01,0.8525
2000-11-01,0.8552
2000-12-01,0.8983
2001-01-01,0.9376
2001-02-01,0.9205
2001-03-01,0.9083
2001-04-01,0.8925
2001-05-01,0.8753
2001-06-01,0.8530
2001-07-01,0.8615
2001-08-01,0.9014
2001-09-01,0.9114
2001-10-01,0.9050
2001-11-01,0.8883
2001-12-01,0.8912
2002-01-01,0.8832
2002-02-01,0.8707
2002-03-01,0.8766
2002-04-01,0.8860
2002-05-01,0.9170
2002-06-01,0.9561
2002-07-01,0.9935
2002-08-01,0.9781
2002-09-01,0.9806
2002-10-01,0.9812
2002-11-01,1.0013
2002-12-01,1.0194
2003-01-01,1.0622
2003-02-01,1.0785
2003-03-01,1.0797
2003-04-01,1.0862
2003-05-01,1.1556
2003-06-01,1.1674
2003-07-01,1.1365
2003-08-01,1.1155
2003-09-01,1.1267
2003-10-01,1.1714
2003-11-01,1.1710
2003-12-01,1.2298
2004-01-01,1.2638
2004-02-01,1.2640
2004-03-01,1.2261
2004-04-01,1.1989
2004-05-01,1.2000
2004-06-01,1.2146
2004-07-01,1.2266
2004-08-01,1.2191
2004-09-01,1.2224
2004-10-01,1.2507
2004-11-01,1.2997
2004-12-01,1.3406
2005-01-01,1.3123
2005-02-01,1.3013
2005-03-01,1.3185
2005-04-01,1.2943
2005-05-01,1.2697
2005-06-01,1.2155
2005-07-01,1.2041
2005-08-01,1.2295
2005-09-01,1.2234
2005-10-01,1.2022
2005-11-01,1.1789
2005-12-01,1.1861
2006-01-01,1.2126
2006-02-01,1.1940
2006-03-01,1.2028
2006-04-01,1.2273
2006-05-01,1.2767
2006-06-01,1.2661
2006-07-01,1.2681
2006-08-01,1.2810
2006-09-01,1.2722
2006-10-01,1.2617
2006-11-01,1.2888
2006-12-01,1.3205
2007-01-01,1.2993
2007-02-01,1.3080
2007-03-01,1.3246
2007-04-01,1.3513
2007-05-01,1.3518
2007-06-01,1.3421
2007-07-01,1.3726
2007-08-01,1.3626
2007-09-01,1.3910
2007-10-01,1.4233
2007-11-01,1.4683
2007-12-01,1.4559
2008-01-01,1.4728
2008-02-01,1.4759
2008-03-01,1.5520
2008-04-01,1.5754
2008-05-01,1.5554
2008-06-01,1.5562
2008-07-01,1.5759
2008-08-01,1.4955
2008-09-01,1.4342
2008-10-01,1.3266
2008-11-01,1.2744
2008-12-01,1.3511
2009-01-01,1.3244
2009-02-01,1.2797
2009-03-01,1.3050
2009-04-01,1.3199
2009-05-01,1.3646
2009-06-01,1.4014
2009-07-01,1.4092
2009-08-01,1.4266
2009-09-01,1.4575
2009-10-01,1.4821
2009-11-01,1.4908
2009-12-01,1.4579
2010-01-01,1.4266
2010-02-01,1.3680
2010-03-01,1.3570
2010-04-01,1.3417
2010-05-01,1.2563
2010-06-01,1.2223
2010-07-01,1.2811
2010-08-01,1.2903
2010-09-01,1.3103
2010-10-01,1.3901
2010-11-01,1.3654
2010-12-01,1.3221
2011-01-01,1.3371
2011-02-01,1.3656
2011-03-01,1.4020
2011-04-01,1.4460
2011-05-01,1.4335
2011-06-01,1.4403
2011-07-01,1.4275
2011-08-01,1.4333
2011-09-01,1.3747
2011-10-01,1.3732
2011-11-01,1.3558
2011-12-01,1.3155
2012-01-01,1.2910
2012-02-01,1.3238
2012-03-01,1.3208
2012-04-01,1.3160
2012-05-01,1.2806
2012-06-01,1.2541
2012-07-01,1.2278
2012-08-01,1.2406
2012-09-01,1.2885
2012-10-01,1.2974
2012-11-01,1.2837
2012-12-01,1.3119
2013-01-01,1.3304
2013-02-01,1.3347
2013-03-01,1.2953
2013-04-01,1.3025
2013-05-01,1.2983
2013-06-01,1.3197
2013-07-01,1.3088
2013-08-01,1.3314
2013-09-01,1.3364
2013-10-01,1.3646
2013-11-01,1.3491
2013-12-01,1.3708
2014-01-01,1.3618
2014-02-01,1.3665
2014-03-01,1.3828
2014-04-01,1.3810
2014-05-01,1.3739
2014-06-01,1.3595
2014-07-01,1.3533
2014-08-01,1.3315
2014-09-01,1.2889
2014-10-01,1.2677
2014-11-01,1.2473
2014-12-01,1.2329
2015-01-01,1.1615
2015-02-01,1.1350
2015-03-01,1.0819
2015-04-01,1.0822
2015-05-01,1.1167
2015-06-01,1.1226
2015-07-01,1.0997
2015-08-01,1.1136
2015-09-01,1.1229
2015-10-01,1.1228
2015-11-01,1.0727
2015-12-01,1.0889
2016-01-01,1.0855
2016-02-01,1.1092
2016-03-01,1.1134
2016-04-01,1.1346
2016-05-01,1.1312
2016-06-01,1.1232
2016-07-01,1.1055
2016-08-01,1.1207
2016-09-01,1.1218
2016-10-01,1.1014
2016-11-01,1.0792
2016-12-01,1.0545
2017-01-01,1.0635
2017-02-01,1.0650
2017-03-01,1.0691
2017-04-01,1.0714
2017-05-01,1.1050
2017-06-01,1.1233
2017-07-01,1.153
2017-08-01,1.1813
2017-09-01,1.1913
2017-10-01,1.1755
