date,tv,bus_conf,con_cred,cpi,con_exp,ppi,vix,inv,ppe,fed_cat,recession_prob,hc_RD,health_exp,num_saas,aging_pop_pct,med_policyholder_pct,num_hospitals,tw,fif,eig
Jan-31-2006,0.123795858,-0.004348382,0.0201976,0.005390836,0.021,0.80443647,-0.053706697,0.034783777,0.061272417,3,0.39,116,2166,25,12.4,13.6,5650,-0.085799701,-0.013456749,0.109778761
Feb-28-2006,-0.001002044,-0.004348382,0.0201976,0.005390836,0.021,0.80443647,-0.053706697,0.034783777,0.061272417,3,0.39,116,2166,25,12.4,13.6,5650,-0.000768436,0.008839541,-0.012851297
Mar-31-2006,0.01690447,-0.004348382,0.0201976,0.005390836,0.021,0.80443647,-0.053706697,0.034783777,0.061272417,3,0.54,116,2166,25,12.4,13.6,5650,-0.023056658,0.001850351,-0.004878741
Apr-30-2006,0.097744464,-0.002128086,0.003368885,0.016923592,0.023,0.81830044,0.167159485,0.030594975,0.026026685,3,0.22,116,2166,25,12.4,13.6,5650,-0.013456749,0.109778761,-0.013212669
May-31-2006,-0.006087709,-0.002128086,0.003368885,0.016923592,0.023,0.81830044,0.167159485,0.030594975,0.026026685,3,0.22,116,2166,25,12.4,13.6,5650,0.008839541,-0.012851297,-0.000520645
Jun-30-2006,-0.005061889,-0.002128086,0.003368885,0.016923592,0.023,0.81830044,0.167159485,0.030594975,0.026026685,3,0.19,116,2166,25,12.4,13.6,5650,0.001850351,-0.004878741,-0.009909973
Jul-31-2006,-0.081801893,-0.003323229,0.015421875,0.005602241,0.025,0.820420812,-0.06070846,0.044770551,0.027304905,3,0.22,116,2166,25,12.4,13.6,5650,0.109778761,-0.013212669,0.073580596
Aug-31-2006,-0.003215065,-0.003323229,0.015421875,0.005602241,0.025,0.820420812,-0.06070846,0.044770551,0.027304905,3,0.51,116,2166,25,12.4,13.6,5650,-0.012851297,-0.000520645,-0.073188954
Sep-30-2006,-0.003650165,-0.003323229,0.015421875,0.005602241,0.025,0.820420812,-0.06070846,0.044770551,0.027304905,2,0.71,116,2166,25,12.4,13.6,5650,-0.004878741,-0.009909973,-0.006646713
Oct-31-2006,0.059086028,-0.004735824,0.015584706,-0.0085204,0.023,0.805415104,-0.228145898,-0.016689847,-0.021697951,2,0.71,116,2166,25,12.4,13.6,5650,-0.013212669,0.073580596,0.062114965
Nov-30-2006,-0.018734997,-0.004735824,0.015584706,-0.0085204,0.023,0.805415104,-0.228145898,-0.016689847,-0.021697951,2,0.85,116,2166,25,12.4,13.6,5650,-0.000520645,-0.073188954,-0.033054163
Dec-31-2006,-0.005816711,-0.004735824,0.015584706,-0.0085204,0.023,0.805415104,-0.228145898,-0.016689847,-0.021697951,1,0.91,116,2166,25,12.4,13.6,5650,-0.009909973,-0.006646713,-0.011281498
Jan-31-2007,-0.085799701,4.98E-04,0.007010769,0.010191704,0.024,0.819115968,0.114944951,0.017759563,0.067837421,3,0.91,122,2305,31,12.5,13.8,5708,0.073580596,0.062114965,0.036539198
Feb-28-2007,-0.000768436,4.98E-04,0.007010769,0.010191704,0.024,0.819115968,0.114944951,0.017759563,0.067837421,3,0.69,122,2305,31,12.5,13.8,5708,-0.073188954,-0.033054163,0.02297275
Mar-31-2007,-0.023056658,4.98E-04,0.007010769,0.010191704,0.024,0.819115968,0.114944951,0.017759563,0.067837421,2,0.91,122,2305,31,12.5,13.8,5708,-0.006646713,-0.011281498,-0.008627278
Apr-30-2007,-0.013456749,0.004220137,0.007568943,0.019173291,0.021,0.851247757,0.083566214,0.002848297,0.016016427,1,0.91,122,2305,31,12.5,13.8,5708,0.062114965,0.036539198,0.029108788
May-31-2007,0.008839541,0.004220137,0.007568943,0.019173291,0.021,0.851247757,0.083566214,0.002848297,0.016016427,2,0.72,122,2305,31,12.5,13.8,5708,-0.033054163,0.02297275,0.003447092
Jun-30-2007,0.001850351,0.004220137,0.007568943,0.019173291,0.021,0.851247757,0.083566214,0.002848297,0.016016427,2,0.23,122,2305,31,12.5,13.8,5708,-0.011281498,-0.008627278,0.000977487
Jul-31-2007,0.109778761,-0.002770736,0.026249452,0.002759287,0.02,0.854672973,0.363766247,0.035129645,0.032844485,3,0.23,122,2305,31,12.5,13.8,5708,0.036539198,0.029108788,-0.115472166
Aug-31-2007,-0.012851297,-0.002770736,0.026249452,0.002759287,0.02,0.854672973,0.363766247,0.035129645,0.032844485,1,0.56,122,2305,31,12.5,13.8,5708,0.02297275,0.003447092,0.12740045
Sep-30-2007,-0.004878741,-0.002770736,0.026249452,0.002759287,0.02,0.854672973,0.363766247,0.035129645,0.032844485,1,0.17,122,2305,31,12.5,13.8,5708,-0.008627278,0.000977487,-0.004284048
Oct-31-2007,-0.013212669,-0.004088222,0.020820259,0.007112146,0.023,0.870167999,0.017576014,-0.043516209,0.007068531,1,0.17,122,2305,31,12.5,13.8,5708,0.029108788,-0.115472166,0.024212536
