"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-01",101.1879,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-02",101.7716,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-03",102.5497,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-04",103.6582,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-05",104.7757,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-06",105.4333,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-07",105.4581,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-08",104.7657,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-09",103.5477,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-10",102.5623,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-11",102.5309,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1950-12",103.0184,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-01",103.3874,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-02",103.2565,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-03",102.2968,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-04",100.7178,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-05",99.32817,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-06",98.27666,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-07",97.77927,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-08",97.94096,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-09",98.44887,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-10",98.76537,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-11",98.68453,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1951-12",98.3704,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-01",97.87019,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-02",97.26279,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-03",96.73335,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-04",96.49467,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-05",96.89095,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-06",97.85593,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-07",99.17889,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-08",100.4385,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-09",100.8622,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-10",100.929,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-11",100.9282,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1952-12",100.9166,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-01",100.8608,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-02",100.4129,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-03",99.81722,
"USA","BCI","AMPLITUD","LTRENDIDX","M","1953-04",99.41241,
