Dates,S&P 500 (^SPX) - Index Value
Jan-03-1928,17.76
Jan-04-1928,17.72
Jan-05-1928,17.55
Jan-06-1928,17.66
Jan-07-1928,17.68
Jan-09-1928,17.50
Jan-10-1928,17.37
Jan-11-1928,17.35
Jan-12-1928,17.47
Jan-13-1928,17.58
Jan-14-1928,17.44
Jan-16-1928,17.29
Jan-17-1928,17.30
Jan-18-1928,17.26
Jan-19-1928,17.38
Jan-20-1928,17.48
Jan-21-1928,17.53
Jan-23-1928,17.64
Jan-24-1928,17.71
Jan-25-1928,17.52
Jan-26-1928,17.63
Jan-27-1928,17.69
Jan-28-1928,17.58
Jan-30-1928,17.49
Jan-31-1928,17.57
Feb-01-1928,17.53
Feb-02-1928,17.63
Feb-03-1928,17.40
Feb-04-1928,17.43
Feb-06-1928,17.45
Feb-07-1928,17.44
Feb-08-1928,17.49
Feb-09-1928,17.55
Feb-10-1928,17.54
Feb-11-1928,17.53
Feb-14-1928,17.44
Feb-15-1928,17.40
Feb-16-1928,17.35
Feb-17-1928,17.04
Feb-18-1928,16.99
Feb-20-1928,16.95
Feb-21-1928,17.11
Feb-23-1928,17.13
Feb-24-1928,17.18
Feb-25-1928,17.19
Feb-27-1928,17.11
Feb-28-1928,17.16
Feb-29-1928,17.26
Mar-01-1928,17.30
Mar-02-1928,17.30
Mar-03-1928,17.42
Mar-05-1928,17.57
Mar-06-1928,17.67
Mar-07-1928,17.58
Mar-08-1928,17.64
Mar-09-1928,17.93
Mar-10-1928,17.87
Mar-12-1928,18.00
Mar-13-1928,17.92
Mar-14-1928,17.93
Mar-15-1928,18.07
Mar-16-1928,18.26
Mar-17-1928,18.32
Mar-19-1928,18.36
Mar-20-1928,18.46
Mar-21-1928,18.65
Mar-22-1928,18.60
Mar-23-1928,18.78
Mar-24-1928,18.79
Mar-26-1928,19.05
Mar-27-1928,18.94
Mar-28-1928,18.89
Mar-29-1928,18.95
Mar-30-1928,19.28
Mar-31-1928,19.13
Apr-02-1928,18.91
Apr-03-1928,19.02
Apr-04-1928,18.99
Apr-05-1928,19.23
Apr-09-1928,19.27
Apr-10-1928,19.10
Apr-11-1928,19.44
Apr-12-1928,19.41
Apr-13-1928,19.73
Apr-14-1928,19.59
Apr-16-1928,19.68
Apr-17-1928,19.52
Apr-18-1928,19.52
Apr-19-1928,19.63
Apr-20-1928,19.34
Apr-23-1928,19.15
Apr-24-1928,19.25
Apr-25-1928,19.33
Apr-26-1928,19.47
Apr-27-1928,19.68
Apr-28-1928,19.75
Apr-30-1928,19.75
May-01-1928,19.78
May-02-1928,19.83
May-03-1928,19.93
May-04-1928,20.24
May-07-1928,20.41
May-08-1928,20.27
May-09-1928,20.24
May-10-1928,20.21
May-11-1928,20.36
May-14-1928,20.44
May-15-1928,20.39
May-16-1928,20.05
May-17-1928,20.12
May-18-1928,19.92
May-21-1928,19.63
May-22-1928,19.36
May-23-1928,19.75
May-24-1928,19.87
May-25-1928,19.90
May-28-1928,19.57
May-29-1928,19.82
May-31-1928,20.00
Jun-01-1928,20.07
Jun-02-1928,20.22
Jun-04-1928,19.80
Jun-05-1928,19.85
Jun-06-1928,19.66
Jun-07-1928,19.61
Jun-08-1928,19.37
Jun-09-1928,19.12
Jun-11-1928,18.68
Jun-12-1928,18.34
Jun-13-1928,18.89
Jun-14-1928,19.05
Jun-15-1928,18.74
Jun-16-1928,18.75
Jun-18-1928,18.40
Jun-19-1928,18.34
Jun-20-1928,18.57
Jun-21-1928,18.56
Jun-22-1928,18.54
Jun-23-1928,18.46
Jun-25-1928,18.47
Jun-26-1928,18.68
Jun-27-1928,18.86
Jun-28-1928,19.07
Jun-29-1928,19.14
Jun-30-1928,19.19
Jul-02-1928,18.98
Jul-03-1928,19.29
Jul-05-1928,19.48
Jul-06-1928,19.39
Jul-07-1928,19.44
Jul-09-1928,19.46
Jul-10-1928,19.43
Jul-11-1928,18.95
Jul-12-1928,18.81
Jul-13-1928,18.96
Jul-14-1928,18.93
Jul-16-1928,18.70
Jul-17-1928,18.80
Jul-18-1928,19.03
Jul-19-1928,18.99
Jul-20-1928,19.03
Jul-21-1928,18.96
Jul-23-1928,19.12
Jul-24-1928,19.09
Jul-25-1928,19.20
Jul-26-1928,19.24
Jul-27-1928,19.42
Jul-28-1928,19.47
Jul-30-1928,19.47
Jul-31-1928,19.43
Aug-01-1928,19.42
Aug-02-1928,19.33
Aug-03-1928,19.36
Aug-04-1928,19.41
Aug-06-1928,19.58
Aug-07-1928,19.49
Aug-08-1928,19.25
Aug-09-1928,19.30
Aug-10-1928,19.25
Aug-11-1928,19.30
Aug-13-1928,19.29
Aug-14-1928,19.13
Aug-15-1928,19.47
Aug-16-1928,19.61
Aug-17-1928,19.64
Aug-18-1928,19.71
Aug-20-1928,19.77
Aug-21-1928,20.02
Aug-22-1928,20.00
Aug-23-1928,20.02
Aug-24-1928,20.34
Aug-25-1928,20.45
Aug-27-1928,20.38
Aug-28-1928,20.54
Aug-29-1928,20.58
Aug-30-1928,20.61
Aug-31-1928,20.87
Sep-01-1928,20.87
Sep-04-1928,20.97
Sep-05-1928,21.07
Sep-06-1928,20.94
Sep-07-1928,21.09
Sep-08-1928,21.03
Sep-10-1928,20.92
Sep-11-1928,21.08
Sep-12-1928,21.16
Sep-13-1928,21.14
Sep-14-1928,21.14
Sep-15-1928,21.23
Sep-17-1928,21.33
Sep-18-1928,21.18
Sep-19-1928,21.18
Sep-20-1928,21.22
Sep-21-1928,21.36
Sep-22-1928,21.24
Sep-24-1928,21.43
Sep-25-1928,21.41
Sep-26-1928,21.40
Sep-27-1928,21.13
Sep-28-1928,21.14
Sep-29-1928,21.37
Oct-01-1928,21.36
Oct-02-1928,21.26
Oct-03-1928,21.19
Oct-04-1928,21.26
Oct-05-1928,21.22
Oct-06-1928,21.17
Oct-08-1928,21.11
Oct-09-1928,21.18
Oct-10-1928,21.41
Oct-11-1928,21.51
Oct-13-1928,21.63
Oct-15-1928,21.65
Oct-16-1928,21.72
Oct-17-1928,21.79
Oct-18-1928,21.84
Oct-19-1928,21.96
Oct-20-1928,21.84
Oct-22-1928,21.81
Oct-23-1928,21.95
Oct-24-1928,21.99
Oct-25-1928,21.91
Oct-26-1928,21.65
Oct-27-1928,21.87
Oct-29-1928,22.00
Oct-30-1928,21.76
Oct-31-1928,21.68
Nov-01-1928,21.99
Nov-02-1928,21.95
Nov-03-1928,21.97
Nov-05-1928,22.24
Nov-06-1928,22.50
Nov-08-1928,22.39
Nov-09-1928,22.55
Nov-10-1928,22.73
Nov-12-1928,22.84
Nov-13-1928,22.91
Nov-14-1928,22.91
Nov-15-1928,23.03
Nov-16-1928,23.37
Nov-17-1928,23.37
Nov-19-1928,23.37
Nov-20-1928,23.57
Nov-21-1928,23.22
Nov-22-1928,23.52
Nov-23-1928,23.70
Nov-26-1928,23.80
Nov-27-1928,23.91
Nov-28-1928,24.19
Nov-30-1928,24.28
Dec-01-1928,24.03
Dec-03-1928,23.85
Dec-04-1928,23.91
Dec-05-1928,23.81
Dec-06-1928,22.91
Dec-07-1928,22.36
Dec-08-1928,21.92
Dec-10-1928,22.31
Dec-11-1928,22.74
Dec-12-1928,22.52
Dec-13-1928,22.48
Dec-14-1928,22.53
Dec-15-1928,22.52
Dec-17-1928,22.44
Dec-18-1928,22.70
Dec-19-1928,22.98
Dec-20-1928,23.07
Dec-21-1928,23.33
Dec-22-1928,23.33
Dec-24-1928,23.54
Dec-26-1928,23.44
Dec-27-1928,23.64
Dec-28-1928,23.98
Dec-29-1928,24.05
Dec-31-1928,24.35
Jan-02-1929,24.81
Jan-03-1929,24.86
Jan-04-1929,24.85
Jan-05-1929,24.57
Jan-07-1929,24.25
Jan-08-1929,24.17
Jan-09-1929,24.54
Jan-10-1929,24.58
Jan-11-1929,24.54
Jan-12-1929,24.47
Jan-14-1929,24.59
Jan-15-1929,24.23
Jan-16-1929,24.56
Jan-17-1929,24.69
Jan-18-1929,24.77
Jan-19-1929,24.88
Jan-21-1929,24.86
Jan-22-1929,25.07
Jan-23-1929,25.22
Jan-24-1929,25.06
Jan-25-1929,25.48
Jan-26-1929,25.43
Jan-28-1929,25.35
Jan-29-1929,25.36
Jan-30-1929,25.45
Jan-31-1929,25.74
Feb-01-1929,25.84
Feb-02-1929,25.80
Feb-04-1929,25.64
Feb-05-1929,25.70
Feb-06-1929,25.49
Feb-07-1929,24.71
Feb-08-1929,24.44
Feb-11-1929,24.98
Feb-13-1929,24.95
Feb-14-1929,24.85
Feb-15-1929,24.35
Feb-16-1929,24.05
Feb-18-1929,24.39
Feb-19-1929,24.38
Feb-20-1929,24.59
Feb-21-1929,24.86
Feb-25-1929,24.91
