"Series Description","Total consumer credit owned and securitized, not seasonally adjusted level"
"Unit:","Currency"
"Multiplier:","1000000"
"Currency:","USD"
"Unique Identifier: ","G19/CCOUT/DTCTL_N.M"
"Time Period","DTCTL_N.M"
1943-01,6550.00
1943-02,6276.00
1943-03,6099.00
1943-04,6065.00
1943-05,5967.00
1943-06,5893.00
1943-07,5681.00
1943-08,5561.00
1943-09,5619.00
1943-10,5707.00
1943-11,5718.00
1943-12,5663.00
1944-01,5377.00
1944-02,5203.00
1944-03,5255.00
1944-04,5328.00
1944-05,5462.00
1944-06,5530.00
1944-07,5460.00
1944-08,5459.00
1944-09,5520.00
1944-10,5619.00
1944-11,5707.00
1944-12,5787.00
1945-01,5585.00
1945-02,5420.00
1945-03,5550.00
1945-04,5531.00
1945-05,5641.00
1945-06,5762.00
1945-07,5707.00
1945-08,5694.00
1945-09,5730.00
1945-10,5985.00
1945-11,6234.00
1945-12,6800.00
1946-01,6493.00
1946-02,6587.00
1946-03,6862.00
1946-04,7265.00
1946-05,7578.00
1946-06,7769.00
1946-07,7875.00
1946-08,8249.00
1946-09,8568.00
1946-10,8974.00
1946-11,9411.00
1946-12,9777.00
1947-01,9766.00
1947-02,9835.00
1947-03,10128.00
1947-04,10537.00
1947-05,10978.00
1947-06,11209.00
1947-07,11281.00
1947-08,11477.00
1947-09,11846.00
1947-10,12324.00
1947-11,12775.00
1947-12,13298.00
1948-01,13236.00
1948-02,13208.00
1948-03,13613.00
1948-04,14092.00
1948-05,14535.00
1948-06,14847.00
1948-07,14934.00
1948-08,15125.00
1948-09,15539.00
1948-10,15757.00
1948-11,15894.00
1948-12,16332.00
1949-01,15918.00
1949-02,15660.00
1949-03,15716.00
1949-04,16170.00
1949-05,16634.00
1949-06,16926.00
1949-07,16954.00
1949-08,17278.00
1949-09,17764.00
1949-10,18254.00
1949-11,18764.00
1949-12,19374.00
1950-01,19079.00
1950-02,18974.00
1950-03,19262.00
1950-04,19803.00
1950-05,20579.00
1950-06,21197.00
1950-07,21971.00
1950-08,22666.00
1950-09,23279.00
1950-10,23551.00
1950-11,23657.00
1950-12,23947.00
1951-01,23839.00
1951-02,23645.00
1951-03,23692.00
1951-04,23634.00
1951-05,23926.00
1951-06,23933.00
1951-07,23620.00
1951-08,23910.00
1951-09,24202.00
1951-10,24595.00
1951-11,25027.00
1951-12,25350.00
1952-01,24846.00
1952-02,24696.00
1952-03,24597.00
1952-04,25091.00
1952-05,26083.00
1952-06,26878.00
1952-07,27135.00
1952-08,27453.00
1952-09,27965.00
1952-10,28811.00
1952-11,29474.00
1952-12,30522.00
1953-01,30526.00
1953-02,30349.00
1953-03,30901.00
1953-04,31576.00
1953-05,32375.00
1953-06,32672.00
1953-07,32737.00
1953-08,33056.00
1953-09,33354.00
1953-10,33784.00
1953-11,33998.00
1953-12,34614.00
1954-01,34107.00
1954-02,33125.00
1954-03,32744.00
1954-04,33188.00
1954-05,33674.00
1954-06,34006.00
1954-07,34011.00
1954-08,34028.00
1954-09,34242.00
1954-10,34604.00
1954-11,35026.00
1954-12,35963.00
1955-01,35406.00
1955-02,35332.00
1955-03,35702.00
1955-04,36688.00
1955-05,37709.00
1955-06,38755.00
1955-07,38998.00
1955-08,39798.00
1955-09,40543.00
1955-10,41057.00
1955-11,41813.00
1955-12,42949.00
1956-01,42156.00
1956-02,41902.00
1956-03,42251.00
1956-04,42762.00
1956-05,43758.00
1956-06,44281.00
1956-07,44133.00
1956-08,44619.00
1956-09,44978.00
1956-10,45138.00
1956-11,45848.00
1956-12,46580.00
1957-01,45752.00
1957-02,45385.00
1957-03,45242.00
1957-04,45850.00
1957-05,46779.00
1957-06,47223.00
1957-07,47331.00
1957-08,47802.00
1957-09,47971.00
1957-10,48071.00
1957-11,48390.00
1957-12,49217.00
1958-01,48379.00
1958-02,47455.00
1958-03,46775.00
1958-04,46994.00
1958-05,47545.00
1958-06,47704.00
1958-07,47519.00
1958-08,47764.00
1958-09,47940.00
1958-10,48005.00
1958-11,48383.00
1958-12,49490.00
1959-01,49076.00
1959-02,48874.00
1959-03,48991.00
1959-04,49789.00
1959-05,50928.00
1959-06,51878.00
1959-07,52341.00
1959-08,53237.00
1959-09,53918.00
1959-10,54560.00
1959-11,55214.00
1959-12,57213.00
1960-01,56142.00
1960-02,55639.00
1960-03,55757.00
1960-04,57001.00
1960-05,57866.00
1960-06,58622.00
1960-07,58754.00
1960-08,59186.00
1960-09,59590.00
1960-10,59829.00
1960-11,60294.00
1960-12,61248.00
1961-01,60770.00
1961-02,59509.00
1961-03,59339.00
1961-04,59411.00
1961-05,60124.00
1961-06,60597.00
1961-07,60437.00
1961-08,60882.00
1961-09,61082.00
1961-10,61332.00
1961-11,62142.00
1961-12,63435.00
1962-01,62324.00
1962-02,61799.00
1962-03,62038.00
1962-04,63236.00
1962-05,64574.00
1962-06,65435.00
1962-07,65601.00
1962-08,66363.00
1962-09,66626.00
1962-10,67183.00
1962-11,68015.00
1962-12,69344.00
1963-01,68644.00
1963-02,68454.00
1963-03,68935.00
1963-04,70171.00
1963-05,71336.00
1963-06,72217.00
1963-07,72858.00
1963-08,73939.00
1963-09,74362.00
1963-10,75245.00
1963-11,75954.00
1963-12,77870.00
1964-01,77404.00
1964-02,77327.00
1964-03,78041.00
1964-04,79250.00
1964-05,80820.00
1964-06,81812.00
1964-07,82485.00
1964-08,83398.00
1964-09,84142.00
1964-10,84669.00
1964-11,85270.00
1964-12,87352.00
1965-01,87098.00
1965-02,87040.00
1965-03,87645.00
1965-04,89340.00
1965-05,90824.00
1965-06,92243.00
1965-07,92928.00
1965-08,93756.00
1965-09,94391.00
1965-10,94979.00
1965-11,95753.00
1965-12,97489.00
1966-01,96922.00
1966-02,96553.00
1966-03,97096.00
1966-04,98033.00
1966-05,99153.00
1966-06,100205.00
1966-07,100309.00
1966-08,101066.00
1966-09,100989.00
1966-10,101198.00
1966-11,101838.00
1966-12,103422.00
1967-01,102072.00
1967-02,101123.00
1967-03,101348.00
1967-04,102056.00
1967-05,102905.00
1967-06,104131.00
1967-07,104333.00
1967-08,105152.00
1967-09,105544.00
1967-10,105777.00
1967-11,106779.00
1967-12,108567.00
1968-01,106700.00
1968-02,106726.00
1968-03,107272.00
1968-04,108721.00
1968-05,110031.00
1968-06,111404.00
1968-07,112303.00
1968-08,113283.00
1968-09,114160.00
1968-10,115603.00
1968-11,116708.00
1968-12,119324.00
1969-01,118149.00
1969-02,118179.00
1969-03,118884.00
1969-04,120533.00
1969-05,122130.00
1969-06,123675.00
1969-07,124144.00
1969-08,125061.00
1969-09,125813.00
1969-10,126457.00
1969-11,127131.00
1969-12,129231.00
1970-01,127760.00
1970-02,126936.00
1970-03,126663.00
1970-04,127308.00
1970-05,128051.00
1970-06,129421.00
1970-07,129925.00
1970-08,130656.00
1970-09,131424.00
1970-10,131582.00
1970-11,131406.00
1970-12,133660.00
1971-01,134259.00
1971-02,133778.00
1971-03,134072.00
1971-04,135807.00
1971-05,137275.00
1971-06,138912.00
1971-07,139882.00
1971-08,141806.00
1971-09,143465.00
1971-10,144444.00
1971-11,146295.00
1971-12,149243.00
1972-01,147712.00
1972-02,147650.00
1972-03,148847.00
1972-04,150887.00
1972-05,153529.00
1972-06,156222.00
1972-07,157173.00
1972-08,159707.00
1972-09,161529.00
1972-10,162990.00
1972-11,164992.00
1972-12,168757.00
1973-01,169281.00
1973-02,170042.00
1973-03,171528.00
1973-04,173981.00
1973-05,177277.00
1973-06,180398.00
1973-07,182159.00
1973-08,185355.00
1973-09,186695.00
1973-10,188672.00
1973-11,190499.00
1973-12,192980.00
1974-01,191222.00
1974-02,190626.00
1974-03,190460.00
1974-04,192495.00
1974-05,194844.00
1974-06,196777.00
1974-07,198116.00
1974-08,200531.00
1974-09,201241.00
1974-10,201114.00
1974-11,200697.00
1974-12,201926.00
1975-01,198898.00
1975-02,197376.00
1975-03,195912.00
1975-04,196480.00
1975-05,197568.00
1975-06,195933.00
1975-07,197475.00
1975-08,199486.00
1975-09,201183.00
1975-10,202212.00
1975-11,203088.00
1975-12,206996.00
1976-01,205253.00
1976-02,204359.00
1976-03,204908.00
1976-04,208062.00
1976-05,210104.00
1976-06,213148.00
1976-07,215198.00
1976-08,217901.00
1976-09,220688.00
1976-10,222894.00
1976-11,224659.00
1976-12,228961.00
1977-01,226168.22
1977-02,226553.78
1977-03,229155.00
1977-04,233200.59
1977-05,237449.41
1977-06,242048.00
1977-07,245053.96
1977-08,249556.91
1977-09,252953.00
1977-10,256803.68
1977-11,260233.32
1977-12,264892.00
1978-01,263358.83
1978-02,263563.17
1978-03,266971.00
1978-04,271526.97
1978-05,277368.03
1978-06,284526.00
1978-07,288081.53
1978-08,293864.07
1978-09,298022.00
1978-10,300297.28
1978-11,304403.72
1978-12,311305.00
1979-01,310777.61
1979-02,311137.39
1979-03,313819.00
1979-04,318058.26
1979-05,322879.74
1979-06,327319.00
1979-07,330907.49
1979-08,336780.98
1979-09,341528.00
1979-10,344783.50
1979-11,348140.50
1979-12,354616.00
1980-01,351688.33
1980-02,350501.67
1980-03,349662.00
1980-04,348281.57
1980-05,346131.43
1980-06,345637.00
1980-07,345774.57
1980-08,348458.13
1980-09,350336.00
1980-10,351112.64
1980-11,351627.36
1980-12,358044.00
1981-01,354348.91
1981-02,352160.09
1981-03,353902.00
1981-04,356139.46
1981-05,358594.54
1981-06,361610.00
1981-07,363366.80
1981-08,366109.61
1981-09,371928.00
1981-10,371958.79
1981-11,373220.21
1981-12,377882.00
1982-01,376550.40
1982-02,373490.60
1982-03,373537.00
1982-04,375487.96
1982-05,377725.04
1982-06,380887.00
1982-07,381269.51
1982-08,383893.02
1982-09,386815.00
1982-10,386569.76
1982-11,388232.24
1982-12,396718.00
1983-01,393112.41
1983-02,389172.59
1983-03,391910.00
1983-04,394954.23
1983-05,397243.77
1983-06,403838.00
1983-07,408476.37
1983-08,415140.74
1983-09,420612.00
1983-10,425607.13
1983-11,431677.87
1983-12,444878.00
1984-01,443239.69
1984-02,447987.31
1984-03,452010.00
1984-04,458024.21
1984-05,469333.79
1984-06,479799.00
1984-07,486171.12
1984-08,495457.24
1984-09,501839.00
1984-10,506995.52
1984-11,512429.48
1984-12,526584.00
1985-01,525411.77
1985-02,527911.23
1985-03,536023.00
1985-04,544414.06
1985-05,552305.94
1985-06,559592.00
1985-07,566478.50
1985-08,574847.00
1985-09,585905.00
1985-10,591073.10
1985-11,597287.90
1985-12,610574.00
1986-01,607368.98
1986-02,605807.02
1986-03,606799.00
1986-04,614366.85
1986-05,621915.15
1986-06,627891.00
1986-07,633608.32
1986-08,640512.63
1986-09,649888.00
1986-10,656736.01
1986-11,656897.99
1986-12,666355.00
1987-01,655328.12
1987-02,648077.88
1987-03,644317.00
1987-04,651113.60
1987-05,654392.40
1987-06,660313.00
1987-07,665708.18
1987-08,673739.37
1987-09,679637.00
1987-10,683710.08
1987-11,687817.92
1987-12,698640.00
1988-01,695234.75
1988-02,692510.25
1988-03,693732.00
1988-04,700626.05
1988-05,705427.95
1988-06,710128.00
1988-07,713706.52
1988-08,722932.04
1988-09,725838.00
1988-10,728134.66
1988-11,732665.34
1988-12,745206.40
1989-01,753009.23
1989-02,749701.77
1989-03,753193.00
1989-04,759276.91
1989-05,764084.09
1989-06,769617.00
1989-07,773195.77
1989-08,780190.54
1989-09,784207.00
1989-10,787047.03
1989-11,793165.97
1989-12,809285.00
1990-01,802841.79
1990-02,796345.21
1990-03,792320.00
1990-04,793294.37
1990-05,794021.63
1990-06,798712.00
1990-07,803027.08
1990-08,809530.15
1990-09,812302.00
1990-10,813606.31
1990-11,816440.69
1990-12,824391.00
1991-01,812742.49
1991-02,805204.51
1991-03,802207.00
1991-04,802183.54
