 > Series Values,,,,,
,,,,,
Period,Value,Simple Growth Rate %,Y-o-Y Change %,Annual % Rate,Type
Apr-30-2021,6.1,NM,NM,NM,Actual
Mar-31-2021,6,NM,NM,NM,Actual
Feb-28-2021,6.2,NM,NM,NM,Actual
Jan-31-2021,6.3,NM,NM,NM,Actual
Dec-31-2020,6.7,NM,NM,NM,Actual
Nov-30-2020,6.7,NM,NM,NM,Actual
Oct-31-2020,6.9,NM,NM,NM,Actual
Sep-30-2020,7.8,NM,NM,NM,Actual
Aug-31-2020,8.4,NM,NM,NM,Actual
Jul-31-2020,10.2,NM,NM,NM,Actual
Jun-30-2020,11.1,NM,NM,NM,Actual
May-31-2020,13.3,NM,NM,NM,Actual
Apr-30-2020,14.8,NM,NM,NM,Actual
Mar-31-2020,4.4,NM,NM,NM,Actual
Feb-29-2020,3.5,NM,NM,NM,Actual
Jan-31-2020,3.5,NM,NM,NM,Actual
Dec-31-2019,3.6,NM,NM,NM,Actual
Nov-30-2019,3.6,NM,NM,NM,Actual
Oct-31-2019,3.6,NM,NM,NM,Actual
Sep-30-2019,3.5,NM,NM,NM,Actual
Aug-31-2019,3.7,NM,NM,NM,Actual
Jul-31-2019,3.6,NM,NM,NM,Actual
Jun-30-2019,3.6,NM,NM,NM,Actual
May-31-2019,3.7,NM,NM,NM,Actual
Apr-30-2019,3.7,NM,NM,NM,Actual
Mar-31-2019,3.8,NM,NM,NM,Actual
Feb-28-2019,3.8,NM,NM,NM,Actual
Jan-31-2019,4,NM,NM,NM,Actual
Dec-31-2018,3.9,NM,NM,NM,Actual
Nov-30-2018,3.8,NM,NM,NM,Actual
Oct-31-2018,3.8,NM,NM,NM,Actual
Sep-30-2018,3.7,NM,NM,NM,Actual
Aug-31-2018,3.8,NM,NM,NM,Actual
Jul-31-2018,3.8,NM,NM,NM,Actual
Jun-30-2018,4,NM,NM,NM,Actual
May-31-2018,3.8,NM,NM,NM,Actual
Apr-30-2018,4,NM,NM,NM,Actual
Mar-31-2018,4,NM,NM,NM,Actual
Feb-28-2018,4.1,NM,NM,NM,Actual
Jan-31-2018,4,NM,NM,NM,Actual
Dec-31-2017,4.1,NM,NM,NM,Actual
Nov-30-2017,4.2,NM,NM,NM,Actual
Oct-31-2017,4.1,NM,NM,NM,Actual
Sep-30-2017,4.2,NM,NM,NM,Actual
Aug-31-2017,4.4,NM,NM,NM,Actual
Jul-31-2017,4.3,NM,NM,NM,Actual
Jun-30-2017,4.3,NM,NM,NM,Actual
May-31-2017,4.4,NM,NM,NM,Actual
Apr-30-2017,4.5,NM,NM,NM,Actual
Mar-31-2017,4.4,NM,NM,NM,Actual
Feb-28-2017,4.6,NM,NM,NM,Actual
Jan-31-2017,4.7,NM,NM,NM,Actual
Dec-31-2016,4.7,NM,NM,NM,Actual
Nov-30-2016,4.7,NM,NM,NM,Actual
Oct-31-2016,4.9,NM,NM,NM,Actual
Sep-30-2016,5,NM,NM,NM,Actual
Aug-31-2016,4.9,NM,NM,NM,Actual
Jul-31-2016,4.8,NM,NM,NM,Actual
Jun-30-2016,4.9,NM,NM,NM,Actual
May-31-2016,4.8,NM,NM,NM,Actual
Apr-30-2016,5.1,NM,NM,NM,Actual
Mar-31-2016,5,NM,NM,NM,Actual
Feb-29-2016,4.9,NM,NM,NM,Actual
Jan-31-2016,4.8,NM,NM,NM,Actual
Dec-31-2015,5,NM,NM,NM,Actual
Nov-30-2015,5.1,NM,NM,NM,Actual
Oct-31-2015,5,NM,NM,NM,Actual
Sep-30-2015,5,NM,NM,NM,Actual
Aug-31-2015,5.1,NM,NM,NM,Actual
Jul-31-2015,5.2,NM,NM,NM,Actual
Jun-30-2015,5.3,NM,NM,NM,Actual
May-31-2015,5.6,NM,NM,NM,Actual
Apr-30-2015,5.4,NM,NM,NM,Actual
Mar-31-2015,5.4,NM,NM,NM,Actual
Feb-28-2015,5.5,NM,NM,NM,Actual
Jan-31-2015,5.7,NM,NM,NM,Actual
Dec-31-2014,5.6,NM,NM,NM,Actual
Nov-30-2014,5.8,NM,NM,NM,Actual
Oct-31-2014,5.7,NM,NM,NM,Actual
Sep-30-2014,5.9,NM,NM,NM,Actual
Aug-31-2014,6.1,NM,NM,NM,Actual
Jul-31-2014,6.2,NM,NM,NM,Actual
Jun-30-2014,6.1,NM,NM,NM,Actual
May-31-2014,6.3,NM,NM,NM,Actual
Apr-30-2014,6.2,NM,NM,NM,Actual
Mar-31-2014,6.7,NM,NM,NM,Actual
Feb-28-2014,6.7,NM,NM,NM,Actual
Jan-31-2014,6.6,NM,NM,NM,Actual
Dec-31-2013,6.7,NM,NM,NM,Actual
Nov-30-2013,6.9,NM,NM,NM,Actual
Oct-31-2013,7.2,NM,NM,NM,Actual
Sep-30-2013,7.2,NM,NM,NM,Actual
Aug-31-2013,7.2,NM,NM,NM,Actual
Jul-31-2013,7.3,NM,NM,NM,Actual
Jun-30-2013,7.5,NM,NM,NM,Actual
May-31-2013,7.5,NM,NM,NM,Actual
Apr-30-2013,7.6,NM,NM,NM,Actual
Mar-31-2013,7.5,NM,NM,NM,Actual
Feb-28-2013,7.7,NM,NM,NM,Actual
Jan-31-2013,8,NM,NM,NM,Actual
Dec-31-2012,7.9,NM,NM,NM,Actual
Nov-30-2012,7.7,NM,NM,NM,Actual
Oct-31-2012,7.8,NM,NM,NM,Actual
Sep-30-2012,7.8,NM,NM,NM,Actual
Aug-31-2012,8.1,NM,NM,NM,Actual
Jul-31-2012,8.2,NM,NM,NM,Actual
Jun-30-2012,8.2,NM,NM,NM,Actual
May-31-2012,8.2,NM,NM,NM,Actual
Apr-30-2012,8.2,NM,NM,NM,Actual
Mar-31-2012,8.2,NM,NM,NM,Actual
Feb-29-2012,8.3,NM,NM,NM,Actual
Jan-31-2012,8.3,NM,NM,NM,Actual
Dec-31-2011,8.5,NM,NM,NM,Actual
Nov-30-2011,8.6,NM,NM,NM,Actual
Oct-31-2011,8.8,NM,NM,NM,Actual
Sep-30-2011,9,NM,NM,NM,Actual
Aug-31-2011,9,NM,NM,NM,Actual
Jul-31-2011,9,NM,NM,NM,Actual
Jun-30-2011,9.1,NM,NM,NM,Actual
May-31-2011,9,NM,NM,NM,Actual
Apr-30-2011,9.1,NM,NM,NM,Actual
Mar-31-2011,9,NM,NM,NM,Actual
Feb-28-2011,9,NM,NM,NM,Actual
Jan-31-2011,9.1,NM,NM,NM,Actual
Dec-31-2010,9.3,NM,NM,NM,Actual
Nov-30-2010,9.8,NM,NM,NM,Actual
Oct-31-2010,9.4,NM,NM,NM,Actual
Sep-30-2010,9.5,NM,NM,NM,Actual
Aug-31-2010,9.5,NM,NM,NM,Actual
Jul-31-2010,9.4,NM,NM,NM,Actual
Jun-30-2010,9.4,NM,NM,NM,Actual
May-31-2010,9.6,NM,NM,NM,Actual
Apr-30-2010,9.9,NM,NM,NM,Actual
Mar-31-2010,9.9,NM,NM,NM,Actual
Feb-28-2010,9.8,NM,NM,NM,Actual
Jan-31-2010,9.8,NM,NM,NM,Actual
Dec-31-2009,9.9,NM,NM,NM,Actual
Nov-30-2009,9.9,NM,NM,NM,Actual
Oct-31-2009,10,NM,NM,NM,Actual
Sep-30-2009,9.8,NM,NM,NM,Actual
Aug-31-2009,9.6,NM,NM,NM,Actual
Jul-31-2009,9.5,NM,NM,NM,Actual
