From CapIQ,,,QOQ Growth Calculation,Annualized QOQ Growth,From FRED,Target
Year,Quarter,Avg EBITDA Per Share,EBITDA Per Share Quarterly Growth Rate,Annualized EBITDA Per Share Quarterly Growth Rate,10-Year Treasury Yield,Annualized EBITDA Per Share Growth minus 10-Year
2001,Q2,27.3,,,,
2001,Q3,27.6,1.10%,4.47%,4.60%,-0.13%
2001,Q4,27.7,0.36%,1.46%,5.07%,-3.61%
2002,Q1,26.3,-5.05%,-18.73%,5.42%,-24.15%
2002,Q2,28.4,7.98%,35.97%,4.86%,31.11%
2002,Q3,27.5,-3.17%,-12.09%,3.63%,-15.72%
2002,Q4,27,-1.82%,-7.08%,3.83%,-10.91%
2003,Q1,28.3,4.81%,20.70%,3.83%,16.87%
2003,Q2,28.8,1.77%,7.26%,3.54%,3.72%
2003,Q3,30,4.17%,17.74%,3.96%,13.78%
2003,Q4,31,3.33%,14.01%,4.27%,9.74%
2004,Q1,32.5,4.84%,20.81%,3.86%,16.95%
2004,Q2,33.2,2.15%,8.90%,4.62%,4.28%
2004,Q3,33.8,1.81%,7.43%,4.14%,3.29%
2004,Q4,35.7,5.62%,24.45%,4.24%,20.21%
2005,Q1,34.8,-2.52%,-9.71%,4.50%,-14.21%
2005,Q2,36.6,5.17%,22.35%,3.94%,18.41%
2005,Q3,37.1,1.37%,5.58%,4.34%,1.24%
2005,Q4,38.1,2.70%,11.23%,4.39%,6.84%
2006,Q1,39.1,2.62%,10.92%,4.86%,6.06%
2006,Q2,42.1,7.67%,34.41%,5.15%,29.26%
2006,Q3,43,2.14%,8.83%,4.64%,4.19%
2006,Q4,43,0.00%,0.00%,4.71%,-4.71%
2007,Q1,42.3,-1.63%,-6.35%,4.65%,-11.00%
2007,Q2,44.4,4.96%,21.39%,5.03%,16.36%
2007,Q3,44.1,-0.68%,-2.68%,4.59%,-7.27%
2007,Q4,44.4,0.68%,2.75%,4.04%,-1.29%
2008,Q1,44.5,0.23%,0.90%,3.45%,-2.55%
2008,Q2,44.9,0.90%,3.64%,3.99%,-0.35%
2008,Q3,49.2,9.58%,44.17%,3.85%,40.32%
2008,Q4,36.6,-25.61%,-69.38%,2.25%,-71.63%
2009,Q1,32.7,-10.66%,-36.28%,2.71%,-38.99%
2009,Q2,35.5,8.56%,38.91%,3.53%,35.38%
2009,Q3,37.8,6.48%,28.54%,3.31%,25.23%
2009,Q4,40.1,6.08%,26.65%,3.85%,22.80%
2010,Q1,41.7,3.99%,16.94%,3.84%,13.10%
2010,Q2,43.3,3.84%,16.25%,2.97%,13.28%
2010,Q3,44.1,1.85%,7.60%,2.53%,5.07%
2010,Q4,43.5,-1.36%,-5.33%,3.30%,-8.63%
2011,Q1,45.8,5.29%,22.89%,3.47%,19.42%
2011,Q2,49.2,7.42%,33.17%,3.18%,29.99%
2011,Q3,48.8,-0.81%,-3.21%,1.92%,-5.13%
2011,Q4,45,-7.79%,-27.69%,1.89%,-29.58%
2012,Q1,49,8.89%,40.58%,2.23%,38.35%
2012,Q2,49.8,1.63%,6.69%,1.67%,5.02%
2012,Q3,49.1,-1.41%,-5.51%,1.65%,-7.16%
2012,Q4,48,-2.24%,-8.66%,1.78%,-10.44%
2013,Q1,49.8,3.75%,15.87%,1.87%,14.00%
2013,Q2,51.4,3.21%,13.48%,2.52%,10.96%
2013,Q3,52.4,1.95%,8.01%,2.64%,5.37%
2013,Q4,54.9,4.77%,20.49%,3.04%,17.45%
2014,Q1,52.7,-4.01%,-15.09%,2.73%,-17.82%
2014,Q2,54.7,3.80%,16.07%,2.53%,13.54%
2014,Q3,56.5,3.29%,13.83%,2.52%,11.31%
2014,Q4,54.1,-4.25%,-15.94%,2.17%,-18.11%
2015,Q1,51.5,-4.81%,-17.88%,1.94%,-19.82%
2015,Q2,54.1,5.05%,21.78%,2.35%,19.43%
2015,Q3,55.9,3.33%,13.99%,2.06%,11.93%
2015,Q4,52.9,-5.37%,-19.80%,2.27%,-22.07%
2016,Q1,50.4,-4.73%,-17.61%,1.78%,-19.39%
2016,Q2,52.5,4.17%,17.74%,1.49%,16.25%
2016,Q3,55.7,6.10%,26.70%,1.60%,25.10%
2016,Q4,56.4,1.26%,5.12%,2.45%,2.67%
2017,Q1,55.8,-1.06%,-4.19%,2.40%,-6.59%
2017,Q2,58.6,5.02%,21.63%,2.31%,19.32%
2017,Q3,61.2,4.44%,18.96%,2.33%,16.63%
2017,Q4,60.9,-0.49%,-1.95%,2.40%,-4.35%
2018,Q1,61.2,0.49%,1.99%,2.74%,-0.75%
2018,Q2,66.1,8.01%,36.08%,2.85%,33.23%
2018,Q3,69.5,5.14%,22.22%,3.05%,19.17%
2018,Q4,63.4,-8.78%,-30.75%,2.69%,-33.44%
2019,Q1,64.2,1.26%,5.14%,2.41%,2.73%
2019,Q2,67.1,4.52%,19.33%,2.00%,17.33%
2019,Q3,68.8,2.53%,10.53%,1.68%,8.85%
2019,Q4,69.1,0.44%,1.76%,1.92%,-0.16%
2020,Q1,51.5,-25.47%,-69.15%,0.70%,-69.85%
2020,Q2,56.8,10.29%,47.97%,0.66%,47.31%
2020,Q3,66.7,17.43%,90.16%,0.69%,89.47%
2020,Q4,66.5,-0.30%,-1.19%,0.93%,-2.12%
2021,Q1,73,9.77%,45.21%,1.74%,43.47%
