,date,fed_funds_rate
0,1993-01-01,
1,1993-02-01,
2,1993-03-01,
3,1993-04-01,
4,1993-05-01,2.0
5,1993-06-01,2.0
6,1993-07-01,2.0
7,1993-08-01,2.0
8,1993-09-01,2.0
9,1993-10-01,2.0
10,1993-11-01,2.0
11,1993-12-01,2.0
12,1994-01-01,3.0
13,1994-02-01,3.0
14,1994-03-01,2.5
15,1994-04-01,2.5
16,1994-05-01,3.0
17,1994-06-01,2.0
18,1994-07-01,2.0
19,1994-08-01,2.0
20,1994-09-01,2.0
21,1994-10-01,3.0
22,1994-11-01,3.0
23,1994-12-01,2.0
24,1995-01-01,2.0
25,1995-02-01,2.0
26,1995-03-01,2.0
27,1995-04-01,2.0
28,1995-05-01,1.0
29,1995-06-01,1.0
30,1995-07-01,1.0
31,1995-08-01,2.0
32,1995-09-01,2.0
33,1995-10-01,2.0
34,1995-11-01,2.0
35,1995-12-01,1.0
36,1996-01-01,1.0
37,1996-02-01,2.0
38,1996-03-01,2.0
39,1996-04-01,2.0
40,1996-05-01,2.0
41,1996-06-01,2.0
42,1996-07-01,2.0
43,1996-08-01,2.0
44,1996-09-01,2.0
45,1996-10-01,2.0
46,1996-11-01,2.0
47,1996-12-01,2.0
48,1997-01-01,2.0
49,1997-02-01,2.0
50,1997-03-01,3.0
51,1997-04-01,2.0
52,1997-05-01,2.0
53,1997-06-01,2.0
54,1997-07-01,2.0
55,1997-08-01,2.0
56,1997-09-01,2.0
57,1997-10-01,2.0
58,1997-11-01,2.0
59,1997-12-01,2.0
60,1998-01-01,2.0
61,1998-02-01,2.0
62,1998-03-01,2.0
63,1998-04-01,2.0
64,1998-05-01,2.0
65,1998-06-01,2.0
66,1998-07-01,2.0
67,1998-08-01,2.0
68,1998-09-01,2.0
69,1998-10-01,1.0
70,1998-11-01,1.0
71,1998-12-01,2.0
72,1999-01-01,2.0
73,1999-02-01,2.0
74,1999-03-01,2.0
75,1999-04-01,2.0
76,1999-05-01,2.0
77,1999-06-01,3.0
78,1999-07-01,3.0
79,1999-08-01,3.0
80,1999-09-01,2.0
81,1999-10-01,2.0
82,1999-11-01,3.0
83,1999-12-01,2.0
84,2000-01-01,3.0
85,2000-02-01,3.0
86,2000-03-01,3.0
87,2000-04-01,3.0
88,2000-05-01,3.0
89,2000-06-01,2.0
90,2000-07-01,2.0
91,2000-08-01,2.0
92,2000-09-01,2.0
93,2000-10-01,2.0
94,2000-11-01,2.0
95,2000-12-01,2.0
96,2001-01-01,1.0
97,2001-02-01,1.0
98,2001-03-01,1.0
99,2001-04-01,2.0
100,2001-05-01,1.0
101,2001-06-01,1.0
102,2001-07-01,1.0
103,2001-08-01,1.0
104,2001-09-01,2.0
105,2001-10-01,1.0
106,2001-11-01,1.0
107,2001-12-01,1.0
108,2002-01-01,2.0
109,2002-02-01,2.0
110,2002-03-01,2.0
111,2002-04-01,2.0
112,2002-05-01,2.0
113,2002-06-01,2.0
114,2002-07-01,2.0
115,2002-08-01,2.0
116,2002-09-01,2.0
117,2002-10-01,1.0
118,2002-11-01,1.0
119,2002-12-01,2.0
120,2003-01-01,2.0
121,2003-02-01,2.0
122,2003-03-01,2.0
123,2003-04-01,2.0
124,2003-05-01,2.0
125,2003-06-01,1.0
126,2003-07-01,2.0
127,2003-08-01,2.0
128,2003-09-01,2.0
129,2003-10-01,2.0
130,2003-11-01,2.0
131,2003-12-01,2.0
132,2004-01-01,2.0
133,2004-02-01,2.0
134,2004-03-01,2.0
135,2004-04-01,2.0
136,2004-05-01,2.0
137,2004-06-01,3.0
138,2004-07-01,3.0
139,2004-08-01,3.0
140,2004-09-01,3.0
141,2004-10-01,3.0
142,2004-11-01,3.0
143,2004-12-01,3.0
144,2005-01-01,3.0
145,2005-02-01,3.0
146,2005-03-01,3.0
147,2005-04-01,3.0
148,2005-05-01,3.0
149,2005-06-01,3.0
150,2005-07-01,3.0
151,2005-08-01,3.0
152,2005-09-01,3.0
153,2005-10-01,3.0
154,2005-11-01,3.0
155,2005-12-01,3.0
156,2006-01-01,3.0
157,2006-02-01,3.0
158,2006-03-01,3.0
159,2006-04-01,3.0
160,2006-05-01,3.0
161,2006-06-01,3.0
162,2006-07-01,2.0
163,2006-08-01,2.0
164,2006-09-01,2.0
165,2006-10-01,2.0
166,2006-11-01,2.0
167,2006-12-01,2.0
168,2007-01-01,2.0
169,2007-02-01,2.0
170,2007-03-01,2.0
