,Date,predicted_probability
0,1993-01-01,
1,1993-02-01,
2,1993-03-01,
3,1993-04-01,
4,1993-05-01,
5,1993-06-01,
6,1993-07-01,
7,1993-08-01,
8,1993-09-01,
9,1993-10-01,
10,1993-11-01,
11,1993-12-01,
12,1994-01-01,
13,1994-02-01,
14,1994-03-01,
15,1994-04-01,
16,1994-05-01,
17,1994-06-01,
18,1994-07-01,
19,1994-08-01,
20,1994-09-01,
21,1994-10-01,
22,1994-11-01,
23,1994-12-01,
24,1995-01-01,
25,1995-02-01,
26,1995-03-01,
27,1995-04-01,
28,1995-05-01,
29,1995-06-01,
30,1995-07-01,
31,1995-08-01,
32,1995-09-01,
33,1995-10-01,
34,1995-11-01,
35,1995-12-01,
36,1996-01-01,
37,1996-02-01,
38,1996-03-01,
39,1996-04-01,
40,1996-05-01,
41,1996-06-01,
42,1996-07-01,
43,1996-08-01,
44,1996-09-01,
45,1996-10-01,
46,1996-11-01,
47,1996-12-01,
48,1997-01-01,
49,1997-02-01,
50,1997-03-01,
51,1997-04-01,
52,1997-05-01,
53,1997-06-01,
54,1997-07-01,
55,1997-08-01,
56,1997-09-01,
57,1997-10-01,
58,1997-11-01,
59,1997-12-01,
60,1998-01-01,
61,1998-02-01,
62,1998-03-01,
63,1998-04-01,
64,1998-05-01,
65,1998-06-01,
66,1998-07-01,
67,1998-08-01,
68,1998-09-01,
69,1998-10-01,
70,1998-11-01,
71,1998-12-01,
72,1999-01-01,
73,1999-02-01,
74,1999-03-01,
75,1999-04-01,
76,1999-05-01,
77,1999-06-01,
78,1999-07-01,
79,1999-08-01,
80,1999-09-01,
81,1999-10-01,
82,1999-11-01,
83,1999-12-01,
84,2000-01-01,
85,2000-02-01,
86,2000-03-01,
87,2000-04-01,
88,2000-05-01,
89,2000-06-01,
90,2000-07-01,
91,2000-08-01,
92,2000-09-01,
93,2000-10-01,
94,2000-11-01,
95,2000-12-01,
96,2001-01-01,
97,2001-02-01,
98,2001-03-01,
99,2001-04-01,
100,2001-05-01,
101,2001-06-01,
102,2001-07-01,
103,2001-08-01,
104,2001-09-01,
105,2001-10-01,
106,2001-11-01,
107,2001-12-01,
108,2002-01-01,
109,2002-02-01,
110,2002-03-01,
111,2002-04-01,
112,2002-05-01,
113,2002-06-01,
114,2002-07-01,
115,2002-08-01,
116,2002-09-01,
117,2002-10-01,
118,2002-11-01,
119,2002-12-01,
120,2003-01-01,
121,2003-02-01,
122,2003-03-01,
123,2003-04-01,
124,2003-05-01,
125,2003-06-01,
126,2003-07-01,
127,2003-08-01,
128,2003-09-01,
129,2003-10-01,
130,2003-11-01,
131,2003-12-01,
132,2004-01-01,
133,2004-02-01,
134,2004-03-01,
135,2004-04-01,
136,2004-05-01,
137,2004-06-01,
138,2004-07-01,
139,2004-08-01,
140,2004-09-01,
141,2004-10-01,
142,2004-11-01,
143,2004-12-01,
144,2005-01-01,
145,2005-02-01,
146,2005-03-01,
147,2005-04-01,
148,2005-05-01,
149,2005-06-01,
150,2005-07-01,
151,2005-08-01,
152,2005-09-01,
153,2005-10-01,
154,2005-11-01,
155,2005-12-01,
156,2006-01-01,0.3868925181387390
157,2006-02-01,0.3868925181387390
158,2006-03-01,0.5398761736412300
159,2006-04-01,0.2193883025604580
160,2006-05-01,0.2193883025604580
161,2006-06-01,0.192871640452791
162,2006-07-01,0.2246703384220460
163,2006-08-01,0.509033371282598
164,2006-09-01,0.7084754658959430
165,2006-10-01,0.7084754658959430
166,2006-11-01,0.8519942890332960
167,2006-12-01,0.9145189887722580
168,2007-01-01,0.9145189887722580
169,2007-02-01,0.6940191228498200
170,2007-03-01,0.9070468292290020
171,2007-04-01,0.9070468292290020
172,2007-05-01,0.7168066327785830
173,2007-06-01,0.230807765094398
174,2007-07-01,0.230807765094398
175,2007-08-01,0.5621195883985770
176,2007-09-01,0.1739239987196150
177,2007-10-01,0.1739239987196150
178,2007-11-01,0.1636691482507830
179,2007-12-01,0.1595700435979160
180,2008-01-01,0.186941110912038
181,2008-02-01,0.1436655394208190
182,2008-03-01,0.4117030740818600
183,2008-04-01,0.1535474609073910
184,2008-05-01,0.1366021066356310
185,2008-06-01,0.1366021066356310
186,2008-07-01,0.1408303736636640
187,2008-08-01,0.1396558728754040
188,2008-09-01,0.1396558728754040
189,2008-10-01,0.1238802061176250
190,2008-11-01,0.1778920047920990
191,2008-12-01,0.1778920047920990
